# t,q1,q2,q3,q4,q5,q6,q7,m1,m2,m3,m4,m5,m6,m7,px,py,pz,is_policy
1.788372388488473654e+09,-7.857900112867355347e-03,-3.696999847888946533e-01,5.035365931689739227e-03,9.327762722969055176e-01,-4.636594057083129883e-01,-2.046696376055479050e-03,-3.303551673889160156e-01,2.994583047226662131e-02,-3.297856107423520200e-01,1.735713740749211809e-02,8.669031815060659341e-01,-4.621576256961930085e-01,-1.544975967040507214e-02,-2.752346074616625060e-01,2.200000000000000011e-01,1.000000000000000333e-01,1.600000000000000311e-01,1.000000000000000000e+00
1.788372389401987076e+09,9.690157137811183929e-03,-3.516999483108520508e-01,2.385621704161167145e-02,9.301465749740600586e-01,-4.580044448375701904e-01,-9.134044870734214783e-03,-3.294423520565032959e-01,3.032730601968403050e-02,-3.294041351949346108e-01,1.735713740749211809e-02,8.669031815060659341e-01,-4.621576256961930085e-01,-1.544975967040507214e-02,-2.752346074616625060e-01,2.200000000000000011e-01,1.000000000000000333e-01,1.600000000000000311e-01,1.000000000000000000e+00
1.788372390404362440e+09,3.816556558012962341e-02,-3.216999471187591553e-01,5.626266077160835266e-02,9.247261881828308105e-01,-4.481416344642639160e-01,-2.081055380403995514e-02,-3.267398476600646973e-01,4.749370565346744399e-02,-3.103303578240641514e-01,3.185320820935366726e-02,8.669031815060659341e-01,-4.610131990539407809e-01,-1.621271076523989052e-02,-2.756160830090799152e-01,2.312883031368255238e-01,1.000000000000000333e-01,1.600000000000000311e-01,1.000000000000000000e+00
1.788372391404920101e+09,7.416757196187973022e-02,-2.797263264656066895e-01,1.035879924893379211e-01,9.141111373901367188e-01,-4.332760870456695557e-01,-3.663675487041473389e-02,-3.192198872566223145e-01,7.495994506752090558e-02,-2.843900205996803265e-01,6.542305638208567586e-02,8.676661326009007524e-01,-4.583428702220189166e-01,-2.002746623941398241e-02,-2.759975585564973244e-01,2.512883031368255415e-01,1.000000000000000333e-01,1.600000000000000311e-01,1.000000000000000000e+00
1.788372392407251596e+09,1.097712889313697815e-01,-2.274940758943557739e-01,1.650018543004989624e-01,8.954255580902099609e-01,-4.129173755645751953e-01,-5.475830659270286560e-02,-3.036198318004608154e-01,9.441519798580877421e-02,-2.584496833752965017e-01,1.104371709773399601e-01,8.745326924544141178e-01,-4.381246662088962296e-01,-1.888303959716175484e-02,-3.206301976043341995e-01,2.712883031368255593e-01,1.000000000000000333e-01,1.600000000000000311e-01,1.000000000000000000e+00
