# t,q1,q2,q3,q4,q5,q6,q7,m1,m2,m3,m4,m5,m6,m7,px,py,pz,is_policy
1.788370179120543718e+09,-5.276783928275108337e-02,-1.244520843029022217e-01,4.099179208278656006e-01,1.050029039382934570e+00,-4.097005352377891541e-02,6.865848600864410400e-02,-1.341543793678283691e+00,-5.168993667505894507e-02,-1.314183260852974655e-01,3.900587472343008955e-01,1.007286182955672516e+00,-8.144502937361686179e-02,3.261615930418848563e-02,-1.263637750820171490e+00,2.397730785352897298e-01,1.041827265498578431e-01,3.729380245188798071e-01,1.000000000000000000e+00
1.788370179375286818e+09,-9.914288297295570374e-03,-1.311175972223281860e-01,4.382760524749755859e-01,1.046843767166137695e+00,7.727096090093255043e-04,9.515210241079330444e-02,-1.366800904273986816e+00,-1.926451514457916403e-02,-1.302738994430452379e-01,4.274433508812105487e-01,1.022163729304951474e+00,-3.070878156710143969e-02,6.008239871824194722e-02,-1.291103990234224952e+00,2.444036895817900401e-01,1.051798912234253036e-01,3.535070414261534122e-01,1.000000000000000000e+00
1.788370179621685266e+09,4.200790822505950928e-02,-1.451234370470046997e-01,4.534069895744323730e-01,1.027658462524414062e+00,3.155422955751419067e-02,1.247833594679832458e-01,-1.382279396057128906e+00,1.850156404974434565e-02,-1.440070191500719687e-01,4.568169680323510562e-01,1.022926680399786292e+00,8.964675364309115935e-03,8.182650492103427098e-02,-1.316281376363773958e+00,2.441180159616069267e-01,1.090766627650400777e-01,3.338924151963423292e-01,1.000000000000000000e+00
1.788370179871519804e+09,9.907203912734985352e-02,-1.646634787321090698e-01,4.532247483730316162e-01,9.926640987396240234e-01,4.818280786275863647e-02,1.562835276126861572e-01,-1.387123107910156250e+00,6.733043411917272181e-02,-1.520180056458375617e-01,4.667353322652036951e-01,1.022545204852368883e+00,3.566796368352775914e-02,1.134889753566792336e-01,-1.325055313954374370e+00,2.398293333684575479e-01,1.147130461686635683e-01,3.151884481373846136e-01,1.000000000000000000e+00
1.788370180121604204e+09,1.559267491102218628e-01,-1.860801726579666138e-01,4.377678930759429932e-01,9.440879225730895996e-01,4.896344989538192749e-02,1.878548711538314819e-01,-1.380655288696289062e+00,1.207370107576100082e-01,-1.752880140382995222e-01,4.686427100022907410e-01,9.916456855115587388e-01,5.817502098115490128e-02,1.504921034561679249e-01,-1.332303349355305144e+00,2.361811557015093821e-01,1.200762268382637304e-01,2.962694869392741848e-01,1.000000000000000000e+00
1.788370180372740269e+09,2.061948329210281372e-01,-2.042628079652786255e-01,4.091970622539520264e-01,8.859941363334655762e-01,3.392646461725234985e-02,2.173029333353042603e-01,-1.361917853355407715e+00,1.680399786373687476e-01,-1.943617914091699816e-01,4.552910658426814194e-01,9.451056687266348177e-01,6.084534981307676560e-02,1.722362096589602487e-01,-1.334592202639809599e+00,2.330662995815449556e-01,1.250597011782417778e-01,2.771524093682985468e-01,1.000000000000000000e+00
1.788370180622359991e+09,2.449706643819808960e-01,-2.148129492998123169e-01,3.721985220909118652e-01,8.240854740142822266e-01,6.144245620816946030e-03,2.428323328495025635e-01,-1.332757234573364258e+00,2.122911421377882135e-01,-2.145799954222944450e-01,4.221026932173668200e-01,8.840695811398493476e-01,5.664911879148526452e-02,2.107652399481185768e-01,-1.315899900816356549e+00,2.291649977634578061e-01,1.292453752266358447e-01,2.579883811674011374e-01,1.000000000000000000e+00
1.788370180872247458e+09,2.717464864253997803e-01,-2.172637730836868286e-01,3.322188854217529297e-01,7.636278867721557617e-01,-2.860966883599758148e-02,2.643070816993713379e-01,-1.297714471817016602e+00,2.454795147631028129e-01,-2.149614709697118542e-01,3.847180895704571668e-01,8.241779201953161049e-01,2.956435492484921213e-02,2.412832837415113119e-01,-1.289196612497137906e+00,2.372595384783357519e-01,1.368321424919297924e-01,2.413474865677275039e-01,1.000000000000000000e+00
1.788370181122964621e+09,2.865222990512847900e-01,-2.128184288740158081e-01,2.922775447368621826e-01,7.079259157180786133e-01,-6.662341952323913574e-02,2.820639014244079590e-01,-1.259961128234863281e+00,2.645532921339732724e-01,-2.149614709697118542e-01,3.397039749752028825e-01,7.612344548714435888e-01,-1.201647974364838944e-02,2.561608300907902702e-01,-1.255626764324405897e+00,2.572108556513391653e-01,1.360125426601702103e-01,2.424758478476371215e-01,1.000000000000000000e+00
1.788370181372800112e+09,2.892981171607971191e-01,-2.025608867406845093e-01,2.545591592788696289e-01,6.593512296676635742e-01,-1.052641272544860840e-01,2.962878346443176270e-01,-1.221782922744750977e+00,2.721828030823214561e-01,-2.061875333791114429e-01,2.996490424963749177e-01,7.097352559700933483e-01,-5.321583886472858183e-02,2.775234607461651848e-01,-1.217860685130082388e+00,2.751599870730990216e-01,1.292812249420149662e-01,2.481783072277328472e-01,1.000000000000000000e+00
1.788370181626272440e+09,2.800739407539367676e-01,-1.872453540563583374e-01,2.209431082010269165e-01,6.196146607398986816e-01,-1.422792673110961914e-01,3.068933784961700439e-01,-1.185030937194824219e+00,2.809567406729218675e-01,-1.943617914091699816e-01,2.607385366597991805e-01,6.605249103532475630e-01,-9.861142900740027528e-02,2.924010070954441431e-01,-1.183527885862515561e+00,2.932007590574956524e-01,1.227494731961824709e-01,2.538233728020042324e-01,1.000000000000000000e+00
1.788370181876235723e+09,2.588497698307037354e-01,-1.677670627832412720e-01,1.932864338159561157e-01,5.901643633842468262e-01,-1.755129843950271606e-01,3.136799037456512451e-01,-1.151411294937133789e+00,2.714198519874866378e-01,-1.741435873960472946e-01,2.294575417715716270e-01,6.361104753185333749e-01,-1.268406195162885552e-01,2.882047760738526421e-01,-1.188487067978941880e+00,3.123328374527882256e-01,1.173687091564821899e-01,2.560618889680049692e-01,1.000000000000000000e+00
1.788370182125768661e+09,2.256256192922592163e-01,-1.448096781969070435e-01,1.736021488904953003e-01,5.721217393875122070e-01,-2.028503865003585815e-01,3.163194358348846436e-01,-1.122313857078552246e+00,2.603570611123817713e-01,-1.520180056458375617e-01,2.042801556420226206e-01,6.063553826199754582e-01,-1.543068589303420168e-01,2.698939497978170010e-01,-1.202220187685968611e+00,3.319315329066969134e-01,1.136405104418525269e-01,2.546506232775087031e-01,1.000000000000000000e+00
1.788370182374886513e+09,1.804014742374420166e-01,-1.187621876597404480e-01,1.639662086963653564e-01,5.657483935356140137e-01,-2.224386036396026611e-01,3.143298625946044922e-01,-1.098182201385498047e+00,2.409018081940939027e-01,-1.329442282749671023e-01,1.836804760814825244e-01,5.849927519646005436e-01,-1.810101472495606600e-01,2.561608300907902702e-01,-1.199549858854046747e+00,3.515886043345822776e-01,1.109146674808339922e-01,2.521668110803251261e-01,1.000000000000000000e+00
1.788370182625787735e+09,1.231773123145103455e-01,-8.999942988157272339e-02,1.660159081220626831e-01,5.697129964828491211e-01,-2.334034293889999390e-01,3.066876828670501709e-01,-1.077331542968750000e+00,1.852063782711521611e-01,-1.104371709773399601e-01,1.726176852063776579e-01,5.716411078049912220e-01,-2.073319600213636704e-01,2.569237811856250886e-01,-1.143472953383687596e+00,3.715089541889989855e-01,1.091327079493142616e-01,2.522322473521130259e-01,1.000000000000000000e+00
1.788370182875647783e+09,5.441509187221527100e-02,-6.047725304961204529e-02,1.803984940052032471e-01,5.802925825119018555e-01,-2.361061424016952515e-01,2.907318174839019775e-01,-1.055073738098144531e+00,1.085297932402529142e-01,-8.144502937361686179e-02,1.680399786373687476e-01,5.701152056153215852e-01,-2.367055771725041780e-01,2.935454337376963707e-01,-1.042763408865491570e+00,3.906271643995688492e-01,1.074969146836372152e-01,2.578730113727424333e-01,1.000000000000000000e+00
