t,cmd_r_aj_1,cmd_r_aj_2,cmd_r_aj_3,cmd_r_aj_4,cmd_r_aj_5,cmd_r_aj_6,cmd_r_aj_7,meas_r_aj_1,meas_r_aj_2,meas_r_aj_3,meas_r_aj_4,meas_r_aj_5,meas_r_aj_6,meas_r_aj_7,err,tip_z
1788392822.9237127,-0.09139412641525269,0.4808560907840729,0.03799744322896004,1.3841809034347534,0.4921480715274811,0.2723518908023834,0.208588644862175,-0.09670405127031323,0.48161287861448265,0.0581750209811549,1.378080415045396,0.446517128252081,0.2622644388494688,0.18902113374532625,0.04563094327540007,0.39700913429260254
1788392822.9679995,-0.0911816656589508,0.4783574342727661,0.037486687302589417,1.383237600326538,0.4918901324272156,0.27522894740104675,0.21359215676784515,-0.09670405127031323,0.48161287861448265,0.0581750209811549,1.378080415045396,0.446517128252081,0.2622644388494688,0.18902113374532625,0.04499383369774429,0.3977178931236267
1788392823.01524,-0.09254783391952515,0.4794725477695465,0.04489608108997345,1.380034327507019,0.4923267960548401,0.27281424403190613,0.21865269541740417,-0.09670405127031323,0.48161287861448265,0.0581750209811549,1.378080415045396,0.446517128252081,0.2622644388494688,0.18902113374532625,0.046451563335367096,0.39843469858169556
1788392823.062748,-0.09221978485584259,0.4817069172859192,0.05413943529129028,1.3787106275558472,0.4928472638130188,0.26833558082580566,0.22327521443367004,-0.09670405127031323,0.48161287861448265,0.0581750209811549,1.378080415045396,0.446517128252081,0.2622644388494688,0.18902113374532625,0.0470952231654605,0.4007200598716736
1788392823.1106277,-0.09063177555799484,0.48608845472335815,0.06103101745247841,1.3790719509124756,0.49153268337249756,0.2645910382270813,0.22529633343219757,-0.09670405127031323,0.48161287861448265,0.0581750209811549,1.378080415045396,0.446517128252081,0.2622644388494688,0.18940260929274366,0.04308312187285035,0.4030138850212097
1788392823.1597996,-0.08622405678033829,0.4905705749988556,0.061979468911886215,1.382906198501587,0.48914819955825806,0.26508626341819763,0.22472353279590607,-0.09670405127031323,0.48161287861448265,0.0581750209811549,1.378080415045396,0.446517128252081,0.2622644388494688,0.18940260929274366,0.039125880099245,0.4060225784778595
1788392823.208013,-0.08394058048725128,0.48898375034332275,0.05429655686020851,1.3863153457641602,0.4882359206676483,0.27082303166389465,0.22116898000240326,-0.09670405127031323,0.48199435416190006,0.05855649652857231,1.378080415045396,0.446517128252081,0.2618829633020514,0.18940260929274366,0.04037774244637099,0.40593981742858887
1788392823.2555912,-0.08675859123468399,0.4810568392276764,0.04467058554291725,1.3842693567276,0.4907575845718384,0.27691978216171265,0.21653316915035248,-0.09670405127031323,0.48199435416190006,0.05855649652857231,1.378080415045396,0.446517128252081,0.2618829633020514,0.18940260929274366,0.047947302258916746,0.40166985988616943
1788392823.303342,-0.09002189338207245,0.475463330745697,0.04293390363454819,1.3787569999694824,0.4943264424800873,0.2789190411567688,0.21471112966537476,-0.09670405127031323,0.48199435416190006,0.05855649652857231,1.378080415045396,0.446517128252081,0.2626459143968862,0.18940260929274366,0.05305553535313218,0.39814192056655884
1788392823.352385,-0.0898636057972908,0.4759245812892914,0.0465574748814106,1.3750791549682617,0.49431657791137695,0.2779686450958252,0.21628111600875854,-0.09670405127031323,0.48123140306706524,0.05855649652857231,1.378080415045396,0.4468986037994984,0.26302738994430364,0.18940260929274366,0.047403473195874346,0.39783617854118347
1788392823.3990715,-0.08538263291120529,0.47987809777259827,0.04881305620074272,1.3756436109542847,0.48954254388809204,0.2771225869655609,0.21925225853919983,-0.09670405127031323,0.48084992751964784,0.05855649652857231,1.378080415045396,0.4468986037994984,0.26340886549172104,0.18940260929274366,0.03562611007436478,0.40025579929351807
1788392823.446792,-0.08559945225715637,0.4827753007411957,0.04815273359417915,1.3715189695358276,0.4842996597290039,0.2764351963996887,0.21876133978366852,-0.09670405127031323,0.4797055008773956,0.05855649652857231,1.378080415045396,0.446517128252081,0.26340886549172104,0.18940260929274366,0.030075491763063344,0.39784568548202515
1788392823.4950283,-0.08956339955329895,0.4820012152194977,0.04599277302622795,1.3653103113174438,0.48202773928642273,0.27623826265335083,0.21694067120552063,-0.09670405127031323,0.4793240253299782,0.05855649652857231,1.378080415045396,0.446517128252081,0.26302738994430364,0.18940260929274366,0.0321708879837474,0.39299947023391724
1788392823.5431232,-0.0883004441857338,0.48161187767982483,0.04664606228470802,1.3669837713241577,0.48182132840156555,0.2780575454235077,0.21947415173053741,-0.09670405127031323,0.4793240253299782,0.05855649652857231,1.378080415045396,0.4461356527046636,0.26302738994430364,0.18940260929274366,0.03538225169616188,0.3947506248950958
1788392823.5905483,-0.08526814728975296,0.4875364601612091,0.055715788155794144,1.3696322441101074,0.4815270006656647,0.2768901586532593,0.22336143255233765,-0.09670405127031323,0.4793240253299782,0.05855649652857231,1.378080415045396,0.4461356527046636,0.26302738994430364,0.18940260929274366,0.03804046812248424,0.39943569898605347
1788392823.638629,-0.08501536399126053,0.49413785338401794,0.06711587309837341,1.3678563833236694,0.48088985681533813,0.2716309428215027,0.22447285056114197,-0.09670405127031323,0.4793240253299782,0.05855649652857231,1.378080415045396,0.4461356527046636,0.26340886549172104,0.18940260929274366,0.036237230177642854,0.40125828981399536
1788392823.6883216,-0.08365285396575928,0.4933846592903137,0.07175665348768234,1.3701720237731934,0.4809737205505371,0.2673202157020569,0.2255101054906845,-0.09670405127031323,0.4804684519722304,0.05855649652857231,1.378080415045396,0.4461356527046636,0.26340886549172104,0.18940260929274366,0.037196613873960505,0.4035915434360504
