t,cmd_r_aj_1,cmd_r_aj_2,cmd_r_aj_3,cmd_r_aj_4,cmd_r_aj_5,cmd_r_aj_6,cmd_r_aj_7,meas_r_aj_1,meas_r_aj_2,meas_r_aj_3,meas_r_aj_4,meas_r_aj_5,meas_r_aj_6,meas_r_aj_7,err,tip_z
1788393017.6808765,-0.030846212059259415,0.34191471338272095,-0.022164909169077873,1.318477988243103,0.36692380905151367,0.1702919453382492,0.31827402114868164,-0.03986419470511926,0.3324559395742721,-0.01201647974364839,1.3475623712520033,0.34161135271228993,0.1573586633096813,0.30117494468604455,0.02908438300890026,0.39020681381225586
1788393017.7273207,-0.025261342525482178,0.3439581096172333,-0.014675861224532127,1.320677399635315,0.3664253354072571,0.16550639271736145,0.3258386552333832,-0.03986419470511926,0.3324559395742721,-0.01201647974364839,1.3475623712520033,0.34161135271228993,0.1573586633096813,0.30117494468604455,0.03260657633627523,0.39571529626846313
1788393017.7749946,-0.02329358644783497,0.34054267406463623,-0.009760137647390366,1.3294833898544312,0.36708569526672363,0.16104471683502197,0.3366452753543854,-0.03948271915770185,0.3324559395742721,-0.01201647974364839,1.3475623712520033,0.34161135271228993,0.15697718776226388,0.30155642023346196,0.04643580624797572,0.40275633335113525
1788393017.822794,-0.024056559428572655,0.33545559644699097,-0.00653467932716012,1.3404508829116821,0.3670092225074768,0.15560680627822876,0.3457944691181183,-0.03910124361028444,0.3324559395742721,-0.01163500419623098,1.3475623712520033,0.34161135271228993,0.15659571221484647,0.3027008468757142,0.05270027569432367,0.40886929631233215
1788393017.8706214,-0.027798905968666077,0.33344095945358276,-0.002491716528311372,1.3513121604919434,0.3655310869216919,0.14897003769874573,0.3507353663444519,-0.03910124361028444,0.3324559395742721,-0.01163500419623098,1.3475623712520033,0.34161135271228993,0.15583276112001165,0.30460822461280124,0.051315083819300944,0.4128391444683075
1788393017.9183555,-0.03720557317137718,0.3339622914791107,0.0003988758544437587,1.360272765159607,0.3648492395877838,0.14448235929012299,0.35050585865974426,-0.03910124361028444,0.3320744640268547,-0.01163500419623098,1.3475623712520033,0.34161135271228993,0.15278095674067238,0.30956740672922756,0.04069746886157366,0.4126858413219452
1788393017.9655297,-0.050572752952575684,0.3326970338821411,-0.0012272140011191368,1.3664326667785645,0.3676522374153137,0.14544999599456787,0.3450791835784912,-0.03948271915770185,0.3320744640268547,-0.01163500419623098,1.3475623712520033,0.34161135271228993,0.14858472571908088,0.3107118333714798,0.03016129150949276,0.40861040353775024
1788393018.013523,-0.06058923527598381,0.33001092076301575,-0.003841883735731244,1.3696454763412476,0.37413907051086426,0.14966973662376404,0.3360624313354492,-0.04024567025253667,0.3320744640268547,-0.011253528648813571,1.3479438467994207,0.34161135271228993,0.1451514457923242,0.3107118333714798,0.04206336244903364,0.4043184518814087
1788393018.0612376,-0.06304532289505005,0.3288253843784332,-0.0029758522287011147,1.3703850507736206,0.38190680742263794,0.15228883922100067,0.32546594738960266,-0.04367895017929335,0.3320744640268547,-0.011253528648813571,1.3479438467994207,0.34313725490195957,0.14209964141298492,0.3114747844663146,0.05018812578098569,0.4023154675960541
1788393018.1094072,-0.0572374053299427,0.3278326094150543,-0.003626243444159627,1.370306372642517,0.3863890469074249,0.15353940427303314,0.3146638572216034,-0.047493705653467444,0.3316929884794373,-0.011253528648813571,1.3479438467994207,0.34618905928129884,0.1417181658655675,0.3103303578240624,0.04678887966876294,0.40272071957588196
1788393018.1571243,-0.04922127723693848,0.3258970379829407,-0.01092979684472084,1.3676130771636963,0.3834986984729767,0.15469641983509064,0.3043813407421112,-0.05092698558022413,0.3316929884794373,-0.011253528648813571,1.3479438467994207,0.34695201037613366,0.14209964141298492,0.30422674906538383,0.0322978758982041,0.40157806873321533
1788393018.2047808,-0.04808862879872322,0.3263109624385834,-0.01833324506878853,1.358587622642517,0.37481361627578735,0.15304306149482727,0.2959349453449249,-0.05283436331731117,0.3316929884794373,-0.011253528648813571,1.3479438467994207,0.34695201037613366,0.14248111696040233,0.2958342870222008,0.015094535069785364,0.3949683606624603
1788393018.252386,-0.051123157143592834,0.3296442925930023,-0.021107956767082214,1.3486844301223755,0.3644842505455017,0.14839355647563934,0.2932785451412201,-0.05283436331731117,0.3313115129320199,-0.01163500419623098,1.3479438467994207,0.34618905928129884,0.14286259250781974,0.2824826428625915,0.011137779589827444,0.3879184126853943
1788393018.3002045,-0.052518393844366074,0.33387285470962524,-0.018743673339486122,1.3452754020690918,0.3571197986602783,0.14381824433803558,0.29906198382377625,-0.05245288776989376,0.3313115129320199,-0.01163500419623098,1.3479438467994207,0.3439002059967944,0.1417181658655675,0.27103837644006923,0.034096218000390976,0.3867565989494324
1788393018.34795,-0.04958798736333847,0.33941465616226196,-0.010372087359428406,1.3499627113342285,0.355977326631546,0.14190177619457245,0.3113834857940674,-0.05283436331731117,0.3316929884794373,-0.01163500419623098,1.3479438467994207,0.3397039749752029,0.1417181658655675,0.2702754253452344,0.05404563751763869,0.3932798504829407
1788393018.39535,-0.04656863585114479,0.34419623017311096,-0.0025755194947123528,1.3582367897033691,0.3608999252319336,0.14691846072673798,0.32439684867858887,-0.05321583886472858,0.3320744640268547,-0.01163500419623098,1.3479438467994207,0.33474479285877656,0.1413366903181501,0.2702754253452344,0.06778545436210204,0.40207207202911377
1788393018.4438086,-0.04586628079414368,0.3450387716293335,-0.0032629435881972313,1.3665142059326172,0.36946162581443787,0.16074277460575104,0.33305954933166504,-0.05321583886472858,0.3320744640268547,-0.01163500419623098,1.3479438467994207,0.33398184176394174,0.1409552147707327,0.27103837644006923,0.07111700857732578,0.4084174335002899
1788393018.4914632,-0.047074031084775925,0.3414694666862488,-0.012361457571387291,1.3706716299057007,0.37892401218414307,0.17942136526107788,0.3340246081352234,-0.05283436331731117,0.3324559395742721,-0.011253528648813571,1.3479438467994207,0.33436331731135915,0.14209964141298492,0.2748531319142433,0.060856748073804784,0.40991052985191345
1788393018.5393186,-0.047791991382837296,0.33669307827949524,-0.022606702521443367,1.3684780597686768,0.38731950521469116,0.1952698528766632,0.3281419575214386,-0.05283436331731117,0.3324559395742721,-0.011253528648813571,1.3479438467994207,0.3374151216906984,0.14667734798199383,0.2828641184100089,0.06856159929030689,0.40752628445625305
1788393018.5869803,-0.04570702835917473,0.33126792311668396,-0.029608385637402534,1.362159252166748,0.3930647075176239,0.20280370116233826,0.31928542256355286,-0.05283436331731117,0.3324559395742721,-0.01163500419623098,1.3479438467994207,0.345426108186464,0.15468833447775943,0.2916380560006093,0.057608015524529405,0.4040578603744507
1788393018.6347153,-0.04214443266391754,0.3256889283657074,-0.031431686133146286,1.355399489402771,0.39408695697784424,0.19904516637325287,0.3122372627258301,-0.05283436331731117,0.3320744640268547,-0.01163500419623098,1.3479438467994207,0.3496223392080555,0.16536964980544688,0.2958342870222008,0.04596732447631263,0.4012065827846527
1788393018.6824958,-0.038103267550468445,0.3225700855255127,-0.02612030878663063,1.3518502712249756,0.38980892300605774,0.1848258376121521,0.3105175495147705,-0.052071412222476354,0.3320744640268547,-0.01163500419623098,1.3479438467994207,0.35000381475547293,0.1749065384908821,0.2958342870222008,0.03351639831205866,0.4008547067642212
1788393018.7309191,-0.03197940066456795,0.3231942355632782,-0.015367425978183746,1.35457444190979,0.3820768892765045,0.16592246294021606,0.31421104073524475,-0.052071412222476354,0.3313115129320199,-0.013542381933318026,1.3479438467994207,0.3496223392080555,0.17757686732280398,0.2954528114747834,0.035472656469227315,0.4051256775856018
1788393018.7779567,-0.029814081266522408,0.3267211318016052,-0.005706970579922199,1.3586091995239258,0.3717677593231201,0.14806455373764038,0.31763914227485657,-0.052071412222476354,0.328641184100098,-0.013542381933318026,1.3479438467994207,0.3488593881132207,0.17566948958571693,0.2946898603799486,0.050105901443321915,0.40804317593574524
1788393018.8256555,-0.03249739855527878,0.33300015330314636,0.002104551764205098,1.3618853092193604,0.3619980216026306,0.13458465039730072,0.31855663657188416,-0.052071412222476354,0.3271152819104284,-0.013542381933318026,1.3479438467994207,0.345426108186464,0.16842145418478616,0.2939269092851138,0.05082148199631341,0.4082832932472229
1788393018.873308,-0.038414258509874344,0.3397790193557739,0.0083464989438653,1.3655906915664673,0.35832035541534424,0.12907958030700684,0.31774699687957764,-0.052071412222476354,0.3274967574578458,-0.013160906385900617,1.3479438467994207,0.34199282825970734,0.15545128557259424,0.2943083848325312,0.0333080935793577,0.40763869881629944
1788393018.9210265,-0.0473465695977211,0.3417116403579712,0.010964243672788143,1.367538332939148,0.3642050623893738,0.13285261392593384,0.3150085210800171,-0.052071412222476354,0.3282597085526806,-0.010872053101396162,1.3479438467994207,0.33855954833295065,0.14400701915007197,0.295071335927366,0.03429603330824654,0.40519580245018005
1788393018.968465,-0.052375949919223785,0.3370209038257599,0.008592917583882809,1.3684114217758179,0.37617430090904236,0.1431732475757599,0.3106139004230499,-0.05245288776989376,0.3316929884794373,-0.005531395437552433,1.3479438467994207,0.33779659723811584,0.13790341039139342,0.295071335927366,0.05597248429483931,0.40353795886039734
1788393019.016426,-0.04983573779463768,0.33017587661743164,0.002409423002973199,1.3695353269577026,0.38728442788124084,0.1556067019701004,0.3057829439640045,-0.05283436331731117,0.3332188906691069,0.0013351644159609322,1.3479438467994207,0.33855954833295065,0.137521934843976,0.295071335927366,0.06505676619742196,0.40449053049087524
1788393019.0637932,-0.04479054734110832,0.3262420892715454,-0.005054187029600143,1.3665564060211182,0.3929643929004669,0.16664938628673553,0.29987815022468567,-0.05283436331731117,0.3324559395742721,0.004768444342717615,1.3479438467994207,0.3492408636606381,0.1367589837491412,0.2943083848325312,0.05207307781809112,0.4040372967720032
