# t,q1,q2,q3,q4,q5,q6,q7,m1,m2,m3,m4,m5,m6,m7,px,py,pz,is_policy
1.788372904806411982e+09,-7.863729260861873627e-03,-3.696999847888946533e-01,5.026698578149080276e-03,9.327817559242248535e-01,-4.636622071266174316e-01,-2.042366191744804382e-03,-3.303720951080322266e-01,3.032730601968403050e-02,-3.286411841000997924e-01,1.773861295490952728e-02,8.707179369802400259e-01,-4.617761501487755993e-01,-1.544975967040507214e-02,-2.824826428625932806e-01,2.200000000000000011e-01,1.000000000000000333e-01,1.600000000000000311e-01,1.000000000000000000e+00
1.788372904816218853e+09,8.974269963800907135e-03,-3.516999483108520508e-01,2.379582449793815613e-02,9.301849007606506348e-01,-4.580162465572357178e-01,-9.004829451441764832e-03,-3.293437361717224121e-01,3.032730601968403050e-02,-3.286411841000997924e-01,1.773861295490952728e-02,8.707179369802400259e-01,-4.617761501487755993e-01,-1.544975967040507214e-02,-2.824826428625932806e-01,2.376421058177947687e-01,1.000000000000000333e-01,1.600000000000000311e-01,1.000000000000000000e+00
1.788372904900347471e+09,3.613690286874771118e-02,-3.216999471187591553e-01,5.595115572214126587e-02,9.249404668807983398e-01,-4.482295513153076172e-01,-2.039844915270805359e-02,-3.267405927181243896e-01,3.109025711451884888e-02,-3.274967574578475649e-01,2.002746623941398241e-02,8.707179369802400259e-01,-4.617761501487755993e-01,-1.583123521782248133e-02,-2.832455939574280990e-01,2.318480920791625710e-01,1.000000000000000333e-01,1.600000000000000311e-01,1.000000000000000000e+00
1.788372904978779316e+09,7.122742384672164917e-02,-2.796999216079711914e-01,1.026592105627059937e-01,9.148119688034057617e-01,-4.335678517818450928e-01,-3.581537306308746338e-02,-3.202698826789855957e-01,3.910124361028444184e-02,-3.194857709620819719e-01,3.643091477836257752e-02,8.722438391699096627e-01,-4.610131990539407809e-01,-1.506828412298766295e-02,-2.847714961470977357e-01,2.518480920791625888e-01,1.000000000000000333e-01,1.600000000000000311e-01,1.000000000000000000e+00
1.788372905057446480e+09,1.067136675119400024e-01,-2.272994667291641235e-01,1.633001863956451416e-01,8.965367078781127930e-01,-4.134723544120788574e-01,-5.318427458405494690e-02,-3.060336410999298096e-01,6.389715419241603911e-02,-2.958342870222026022e-01,7.686732280460795153e-02,8.745326924544141178e-01,-4.575799191271840982e-01,-1.926451514457916403e-02,-2.870603494316021909e-01,2.718480920791626065e-01,1.000000000000000333e-01,1.600000000000000311e-01,1.000000000000000000e+00
