# t,q1,q2,q3,q4,q5,q6,q7
1.788378976720543861e+09,2.330053746700286865e-01,2.628522515296936035e-01,2.727301716804504395e-01,6.323809623718261719e-01,-3.095604479312896729e-01,2.488666772842407227e-01,7.626863121986389160e-01
1.788378976770576715e+09,2.291507869958877563e-01,2.618075609207153320e-01,2.762166261672973633e-01,6.214698553085327148e-01,-3.058141171932220459e-01,2.440375238656997681e-01,7.747330069541931152e-01
1.788378976820597172e+09,2.241864800453186035e-01,2.603229880332946777e-01,2.808774411678314209e-01,6.104810237884521484e-01,-3.006699979305267334e-01,2.396510839462280273e-01,7.872075438499450684e-01
1.788378976870803595e+09,2.200981229543685913e-01,2.581452727317810059e-01,2.865980565547943115e-01,5.995322465896606445e-01,-2.941707968711853027e-01,2.353812754154205322e-01,7.992095947265625000e-01
1.788378976921098471e+09,2.174568921327590942e-01,2.552287876605987549e-01,2.931717932224273682e-01,5.885154604911804199e-01,-2.864874601364135742e-01,2.313059121370315552e-01,8.101892471313476562e-01
1.788378976970712662e+09,2.150081396102905273e-01,2.516974508762359619e-01,3.006521761417388916e-01,5.771903991699218750e-01,-2.776121497154235840e-01,2.277381569147109985e-01,8.203586935997009277e-01
1.788378977021311283e+09,2.112892270088195801e-01,2.478900104761123657e-01,3.087499737739562988e-01,5.656040906906127930e-01,-2.678728699684143066e-01,2.251774072647094727e-01,8.303329348564147949e-01
1.788378977071013451e+09,2.055691480636596680e-01,2.441089302301406860e-01,3.170050978660583496e-01,5.540962815284729004e-01,-2.576965689659118652e-01,2.240915447473526001e-01,8.408225774765014648e-01
1.788378977122472286e+09,1.990476399660110474e-01,2.402464151382446289e-01,3.249345719814300537e-01,5.431360602378845215e-01,-2.472590357065200806e-01,2.250584810972213745e-01,8.519555330276489258e-01
1.788378977171248913e+09,1.921636611223220825e-01,2.365569472312927246e-01,3.319168090820312500e-01,5.331170558929443359e-01,-2.371129393577575684e-01,2.282226681709289551e-01,8.639151453971862793e-01
1.788378977221556664e+09,1.856078356504440308e-01,2.333024591207504272e-01,3.378547132015228271e-01,5.242836475372314453e-01,-2.275657355785369873e-01,2.328061461448669434e-01,8.766243457794189453e-01
1.788378977271595955e+09,1.801241487264633179e-01,2.305174171924591064e-01,3.430353701114654541e-01,5.167691111564636230e-01,-2.185469418764114380e-01,2.380006015300750732e-01,8.900069594383239746e-01
