t,cmd_r_aj_1,cmd_r_aj_2,cmd_r_aj_3,cmd_r_aj_4,cmd_r_aj_5,cmd_r_aj_6,cmd_r_aj_7,meas_r_aj_1,meas_r_aj_2,meas_r_aj_3,meas_r_aj_4,meas_r_aj_5,meas_r_aj_6,meas_r_aj_7,err,tip_z
1788392747.9503918,0.03400957211852074,0.398657888174057,0.6014009714126587,0.9630895256996155,0.02817605808377266,0.7027958035469055,0.4227249324321747,0.03643091477836258,0.39501792935073077,0.593766689555201,0.9832532234683757,0.02651255054550994,0.6826504921034573,0.4289692530708802,0.020163697768760258,0.36579546332359314
1788392747.9968581,0.03004429303109646,0.3962761163711548,0.6002452969551086,0.9608733057975769,0.027723362669348717,0.698916494846344,0.4217165410518646,0.03643091477836258,0.39501792935073077,0.593766689555201,0.9832532234683757,0.02651255054550994,0.6826504921034573,0.4289692530708802,0.023931271602225856,0.3620584309101105
1788392748.0449593,0.01774567738175392,0.38915467262268066,0.5984008312225342,0.9535173773765564,0.026278939098119736,0.6957992315292358,0.4192913770675659,0.03643091477836258,0.39501792935073077,0.593766689555201,0.9832532234683757,0.02651255054550994,0.6826504921034573,0.4289692530708802,0.03488499598653372,0.35090115666389465
1788392748.092515,-0.0005270036053843796,0.3768395483493805,0.5959259271621704,0.9439772367477417,0.024226775392889977,0.6923681497573853,0.4179982542991638,0.03604943923094517,0.39463645380331336,0.593766689555201,0.9828717479209583,0.02651255054550994,0.6826504921034573,0.4289692530708802,0.051651404650718644,0.3354129195213318
1788392748.1403618,-0.019051626324653625,0.3605835735797882,0.5922591090202332,0.9373759627342224,0.021657150238752365,0.6872439384460449,0.4205670654773712,0.03376058594644071,0.3927290760662263,0.593766689555201,0.9828717479209583,0.026894026092927348,0.6818875410086225,0.4289692530708802,0.06809502601449147,0.321183443069458
1788392748.1879702,-0.03459494933485985,0.34095773100852966,0.5860541462898254,0.9372220039367676,0.017593994736671448,0.6792099475860596,0.42861708998680115,0.024605172808422893,0.38738841840237903,0.593766689555201,0.9828717479209583,0.029182879377431803,0.6780727855344484,0.4327840085450543,0.07202336362670286,0.31115636229515076
1788392748.23611,-0.0445367656648159,0.32053616642951965,0.5766342878341675,0.9458816051483154,0.010601736605167389,0.6672120094299316,0.44251692295074463,0.009727626459143934,0.37556267643243935,0.593766689555201,0.9828717479209583,0.032997634851605895,0.6723506523231872,0.44460975051499396,0.0703426834371772,0.30761152505874634
1788392748.2837157,-0.04850449040532112,0.30284494161605835,0.564742922782898,0.9621961712837219,-5.155260441824794e-05,0.6513737440109253,0.4601690173149109,-0.005531395437552433,0.35877775234607334,0.593766689555201,0.9828717479209583,0.03376058594644071,0.6624322880903346,0.45605401693751624,0.06920122934011097,0.3103864789009094
1788392748.331348,-0.04690329730510712,0.2900676727294922,0.5510019659996033,0.983467698097229,-0.01426563411951065,0.6330654621124268,0.47883284091949463,-0.023460746166170665,0.335126268406194,0.5930037384603661,0.9828717479209583,0.03147173266193626,0.6445029373617164,0.4678797589074559,0.06663206660863275,0.3181118369102478
1788392748.379034,-0.041490260511636734,0.2820027470588684,0.5354062914848328,1.0061668157577515,-0.031613755971193314,0.614037275314331,0.4961206912994385,-0.03948271915770185,0.3114747844663146,0.5838483253223483,0.9832532234683757,0.024605172808422893,0.6200885023270022,0.4751277943083867,0.08172066790158972,0.32809895277023315
