# t,q1,q2,q3,q4,q5,q6,q7
1.788366858950519323e+09,-8.309469372034072876e-02,-2.747180759906768799e-01,1.182942278683185577e-02,6.998645663261413574e-01,-4.482390582561492920e-01,2.540584839880466461e-02,-9.487765431404113770e-01
1.788366858966072083e+09,-9.074806421995162964e-02,-2.697308659553527832e-01,1.389660127460956573e-02,7.119247317314147949e-01,-4.459801316261291504e-01,2.699290029704570770e-02,-9.587624669075012207e-01
1.788366858990355015e+09,-1.070029214024543762e-01,-2.591857612133026123e-01,1.865831203758716583e-02,7.366060614585876465e-01,-4.409051239490509033e-01,3.048302046954631805e-02,-9.789900183677673340e-01
1.788366859007533073e+09,-1.155236661434173584e-01,-2.536406815052032471e-01,2.136800251901149750e-02,7.491421103477478027e-01,-4.380690753459930420e-01,3.241052851080894470e-02,-9.891884922981262207e-01
1.788366859031165361e+09,-1.329755038022994995e-01,-2.420123368501663208e-01,2.750737220048904419e-02,7.743709087371826172e-01,-4.317299723625183105e-01,3.666786476969718933e-02,-1.009744286537170410e+00
1.788366859046757221e+09,-1.417721062898635864e-01,-2.359430789947509766e-01,3.093968145549297333e-02,7.869843840599060059e-01,-4.282120168209075928e-01,3.902575001120567322e-02,-1.020095705986022949e+00
1.788366859071233511e+09,-1.589678823947906494e-01,-2.233127951622009277e-01,3.860030695796012878e-02,8.119273185729980469e-01,-4.203799366950988770e-01,4.427265375852584839e-02,-1.040975093841552734e+00
1.788366859086872578e+09,-1.671896576881408691e-01,-2.167737782001495361e-01,4.282318800687789917e-02,8.241657614707946777e-01,-4.160489141941070557e-01,4.720392450690269470e-02,-1.051508426666259766e+00
1.788366859110520124e+09,-1.822965890169143677e-01,-2.033350616693496704e-01,5.205842480063438416e-02,8.478618264198303223e-01,-4.065115749835968018e-01,5.372689291834831238e-02,-1.072762012481689453e+00
1.788366859126582623e+09,-1.890688091516494751e-01,-1.964907348155975342e-01,5.700800195336341858e-02,8.592683672904968262e-01,-4.013471901416778564e-01,5.731754004955291748e-02,-1.083475947380065918e+00
1.788366859151013374e+09,-2.010507434606552124e-01,-1.827254444360733032e-01,6.732893735170364380e-02,8.811628222465515137e-01,-3.904455006122589111e-01,6.505274027585983276e-02,-1.104985833168029785e+00
1.788366859166829586e+09,-2.062604576349258423e-01,-1.758525818586349487e-01,7.263209670782089233e-02,8.916377425193786621e-01,-3.847679495811462402e-01,6.917416304349899292e-02,-1.115753173828125000e+00
1.788366859191094160e+09,-2.151173949241638184e-01,-1.622433960437774658e-01,8.334634453058242798e-02,9.115893244743347168e-01,-3.731182217597961426e-01,7.786860316991806030e-02,-1.137222528457641602e+00
1.788366859208461046e+09,-2.187646031379699707e-01,-1.555425673723220825e-01,8.870437741279602051e-02,9.210504889488220215e-01,-3.671917915344238281e-01,8.242835849523544312e-02,-1.147897839546203613e+00
1.788366859231045723e+09,-2.244965285062789917e-01,-1.424821615219116211e-01,9.921693801879882812e-02,9.390017986297607422e-01,-3.552661836147308350e-01,9.197719395160675049e-02,-1.169121742248535156e+00
1.788366859247405529e+09,-2.265812456607818604e-01,-1.361589431762695312e-01,1.043138056993484497e-01,9.475039243698120117e-01,-3.493054211139678955e-01,9.696639329195022583e-02,-1.179662704467773438e+00
1.788366859271705151e+09,-2.291881740093231201e-01,-1.239463686943054199e-01,1.142269670963287354e-01,9.636219143867492676e-01,-3.373770713806152344e-01,1.072855293750762939e-01,-1.200631022453308105e+00
1.788366859287717104e+09,-2.297103852033615112e-01,-1.180666238069534302e-01,1.190447434782981873e-01,9.712501168251037598e-01,-3.314128816127777100e-01,1.125944480299949646e-01,-1.211059689521789551e+00
1.788366859311726809e+09,-2.291923165321350098e-01,-1.067486777901649475e-01,1.284809559583663940e-01,9.856503605842590332e-01,-3.194598257541656494e-01,1.234361901879310608e-01,-1.231776952743530273e+00
1.788366859327710867e+09,-2.281520366668701172e-01,-1.013130620121955872e-01,1.331109702587127686e-01,9.924179315567016602e-01,-3.134706616401672363e-01,1.289517283439636230e-01,-1.242051959037780762e+00
1.788366859352391005e+09,-2.245089709758758545e-01,-9.088974446058273315e-02,1.422522962093353271e-01,1.005054473876953125e+00,-3.014549612998962402e-01,1.401117742061614990e-01,-1.262380838394165039e+00
1.788366859368051767e+09,-2.219061851501464844e-01,-8.590694516897201538e-02,1.467702835798263550e-01,1.010912060737609863e+00,-2.954311370849609375e-01,1.457422077655792236e-01,-1.272415518760681152e+00
1.788366859392977715e+09,-2.151381075382232666e-01,-7.641439884901046753e-02,1.557364463806152344e-01,1.021661043167114258e+00,-2.833510637283325195e-01,1.570491939783096313e-01,-1.292165875434875488e+00
1.788366859408357143e+09,-2.109728157520294189e-01,-7.191238552331924438e-02,1.601860076189041138e-01,1.026537060737609863e+00,-2.773005366325378418e-01,1.627134382724761963e-01,-1.301859736442565918e+00
1.788366859433051348e+09,-2.010797411203384399e-01,-6.342212855815887451e-02,1.690374314785003662e-01,1.035235762596130371e+00,-2.651854455471038818e-01,1.740147173404693604e-01,-1.320817589759826660e+00
1.788366859448913336e+09,-1.953519582748413086e-01,-5.944431200623512268e-02,1.734365671873092651e-01,1.039039134979248047e+00,-2.591286003589630127e-01,1.796402782201766968e-01,-1.330056905746459961e+00
1.788366859472806215e+09,-1.823338866233825684e-01,-5.205380171537399292e-02,1.821900159120559692e-01,1.045487761497497559e+00,-2.470283061265945435e-01,1.907983571290969849e-01,-1.347979426383972168e+00
1.788366859489085913e+09,-1.750435978174209595e-01,-4.865370690822601318e-02,1.865384876728057861e-01,1.048109054565429688e+00,-2.409936785697937012e-01,1.963206529617309570e-01,-1.356633663177490234e+00
1.788366859512972355e+09,-1.589005291461944580e-01,-4.247928410768508911e-02,1.951769590377807617e-01,1.052062749862670898e+00,-2.289749681949615479e-01,2.072096616029739380e-01,-1.373236775398254395e+00
1.788366859528617620e+09,-1.500477492809295654e-01,-3.971946239471435547e-02,1.994583904743194580e-01,1.053363680839538574e+00,-2.230020165443420410e-01,2.125654369592666626e-01,-1.381150484085083008e+00
1.788366859553735018e+09,-1.307796835899353027e-01,-3.489531204104423523e-02,2.079315781593322754e-01,1.054504036903381348e+00,-2.111598849296569824e-01,2.230568677186965942e-01,-1.396089673042297363e+00
1.788366859569736719e+09,-1.203643903136253357e-01,-3.284836187958717346e-02,2.121098339557647705e-01,1.054298758506774902e+00,-2.053063362836837769e-01,2.281807214021682739e-01,-1.403071403503417969e+00
1.788366859594055176e+09,-9.797130525112152100e-02,-2.952425926923751831e-02,2.202873975038528442e-01,1.052143216133117676e+00,-1.938195675611495972e-01,2.381592392921447754e-01,-1.415880918502807617e+00
1.788366859609703779e+09,-8.599351346492767334e-02,-2.826843969523906708e-02,2.242580056190490723e-01,1.050110816955566406e+00,-1.882193237543106079e-01,2.430039197206497192e-01,-1.421639919281005859e+00
1.788366859633749723e+09,-6.062981486320495605e-02,-2.655712328851222992e-02,2.319013327360153198e-01,1.043992042541503906e+00,-1.773926764726638794e-01,2.523863911628723145e-01,-1.431754827499389648e+00
1.788366859650357962e+09,-4.732926562428474426e-02,-2.608587406575679779e-02,2.355537265539169312e-01,1.039891004562377930e+00,-1.721908897161483765e-01,2.569235563278198242e-01,-1.436101913452148438e+00
1.788366859675002813e+09,-1.976731233298778534e-02,-2.584164962172508240e-02,2.424694448709487915e-01,1.029605507850646973e+00,-1.622825413942337036e-01,2.656888663768768311e-01,-1.443388581275939941e+00
1.788366859690079927e+09,-5.604489240795373917e-03,-2.603990212082862854e-02,2.457127273082733154e-01,1.023421168327331543e+00,-1.575983315706253052e-01,2.699176073074340820e-01,-1.446338057518005371e+00
1.788366859715962648e+09,2.317816019058227539e-02,-2.701136842370033264e-02,2.517321109771728516e-01,1.008969068527221680e+00,-1.488105058670043945e-01,2.780504524707794189e-01,-1.450873494148254395e+00
1.788366859732361555e+09,3.768590837717056274e-02,-2.777441032230854034e-02,2.544952630996704102e-01,1.000701308250427246e+00,-1.447223871946334839e-01,2.819492816925048828e-01,-1.452469348907470703e+00
1.788366859760191202e+09,6.659895181655883789e-02,-2.982910163700580597e-02,2.594777643680572510e-01,9.820826649665832520e-01,-1.372176706790924072e-01,2.893823683261871338e-01,-1.454322338104248047e+00
1.788366859774463654e+09,8.087510615587234497e-02,-3.111028485000133514e-02,2.616770267486572266e-01,9.717316627502441406e-01,-1.338236629962921143e-01,2.929060459136962891e-01,-1.454578757286071777e+00
1.788366859799095631e+09,1.086243167519569397e-01,-3.417407348752021790e-02,2.654542028903961182e-01,9.489462971687316895e-01,-1.277993917465209961e-01,2.994961142539978027e-01,-1.453473687171936035e+00
1.788366859813841105e+09,1.218638047575950623e-01,-3.597015887498855591e-02,2.670054435729980469e-01,9.365160465240478516e-01,-1.251895874738693237e-01,3.025258481502532959e-01,-1.451582193374633789e+00
1.788366859836167336e+09,1.467802822589874268e-01,-3.996262699365615845e-02,2.695448994636535645e-01,9.101153612136840820e-01,-1.206492409110069275e-01,3.080661594867706299e-01,-1.445221781730651855e+00
1.788366859851626396e+09,1.584572792053222656e-01,-4.209444671869277954e-02,2.705954611301422119e-01,8.963928222656250000e-01,-1.186470836400985718e-01,3.106102645397186279e-01,-1.440993905067443848e+00
1.788366859875460863e+09,1.802487671375274658e-01,-4.653050750494003296e-02,2.723651826381683350e-01,8.683059811592102051e-01,-1.150579750537872314e-01,3.152924776077270508e-01,-1.430830478668212891e+00
1.788366859891874552e+09,1.903632581233978271e-01,-4.880652204155921936e-02,2.731126546859741211e-01,8.540552854537963867e-01,-1.134384125471115112e-01,3.174443840980529785e-01,-1.425007104873657227e+00
