t,joint,phase,cmd,meas,effort,temp,meas_rj_dg_1_1,meas_rj_dg_1_2,meas_rj_dg_1_3,meas_rj_dg_1_4,meas_rj_dg_2_1,meas_rj_dg_2_2,meas_rj_dg_2_3,meas_rj_dg_2_4,meas_rj_dg_3_1,meas_rj_dg_3_2,meas_rj_dg_3_3,meas_rj_dg_3_4,meas_rj_dg_4_1,meas_rj_dg_4_2,meas_rj_dg_4_3,meas_rj_dg_4_4,meas_rj_dg_5_1,meas_rj_dg_5_2,meas_rj_dg_5_3,meas_rj_dg_5_4,temp_rj_dg_1_1,temp_rj_dg_1_2,temp_rj_dg_1_3,temp_rj_dg_1_4,temp_rj_dg_2_1,temp_rj_dg_2_2,temp_rj_dg_2_3,temp_rj_dg_2_4,temp_rj_dg_3_1,temp_rj_dg_3_2,temp_rj_dg_3_3,temp_rj_dg_3_4,temp_rj_dg_4_1,temp_rj_dg_4_2,temp_rj_dg_4_3,temp_rj_dg_4_4,temp_rj_dg_5_1,temp_rj_dg_5_2,temp_rj_dg_5_3,temp_rj_dg_5_4
400465.413275617,(open),open,0.0,nan,0.0,nan,0.027925268031909273,-0.005235987755982989,0.024434609527920613,-0.13089969389957473,-0.010471975511965978,0.010471975511965978,0.024434609527920613,0.031415926535897934,-0.020943951023931956,0.019198621771937624,0.031415926535897934,0.024434609527920613,-0.019198621771937624,0.04363323129985824,0.04014257279586958,0.026179938779914945,-0.031415926535897934,0.020943951023931956,0.024434609527920613,0.04014257279586958,41.6,41.6,40.0,40.0,40.6,41.1,42.0,42.5,41.6,43.0,43.6,43.300000000000004,42.2,41.300000000000004,42.2,43.0,41.1,39.5,40.6,40.5
400465.421022413,(open),open,0.0,nan,0.0,nan,0.027925268031909273,-0.005235987755982989,0.024434609527920613,-0.13089969389957473,-0.010471975511965978,0.010471975511965978,0.024434609527920613,0.031415926535897934,-0.020943951023931956,0.019198621771937624,0.031415926535897934,0.020943951023931956,-0.019198621771937624,0.04363323129985824,0.04014257279586958,0.024434609527920613,-0.031415926535897934,0.020943951023931956,0.024434609527920613,0.04014257279586958,41.6,41.6,40.0,40.0,40.6,41.1,42.0,42.5,41.6,43.0,43.6,43.300000000000004,42.2,41.300000000000004,42.2,43.0,41.1,39.5,40.6,40.5
400465.421685605,(open),open,0.0,nan,0.0,nan,0.027925268031909273,-0.005235987755982989,0.024434609527920613,-0.13089969389957473,-0.010471975511965978,0.010471975511965978,0.024434609527920613,0.031415926535897934,-0.020943951023931956,0.019198621771937624,0.031415926535897934,0.020943951023931956,-0.019198621771937624,0.04363323129985824,0.04014257279586958,0.024434609527920613,-0.031415926535897934,0.020943951023931956,0.024434609527920613,0.04014257279586958,41.6,41.6,40.0,40.0,40.6,41.1,42.0,42.5,41.6,43.0,43.6,43.300000000000004,42.2,41.300000000000004,42.2,43.0,41.1,39.5,40.6,40.5
400465.430749474,(open),open,0.0,nan,0.0,nan,0.027925268031909273,-0.005235987755982989,0.024434609527920613,-0.13089969389957473,-0.010471975511965978,0.010471975511965978,0.024434609527920613,0.031415926535897934,-0.020943951023931956,0.019198621771937624,0.031415926535897934,0.024434609527920613,-0.019198621771937624,0.04363323129985824,0.04014257279586958,0.024434609527920613,-0.031415926535897934,0.019198621771937624,0.024434609527920613,0.04014257279586958,41.6,41.6,40.0,40.0,40.6,41.1,42.0,42.5,41.6,43.0,43.6,43.300000000000004,42.2,41.300000000000004,42.2,43.0,41.1,39.5,40.6,40.5
400465.431205517,(open),open,0.0,nan,0.0,nan,0.027925268031909273,-0.005235987755982989,0.024434609527920613,-0.13089969389957473,-0.010471975511965978,0.010471975511965978,0.024434609527920613,0.031415926535897934,-0.020943951023931956,0.019198621771937624,0.031415926535897934,0.024434609527920613,-0.019198621771937624,0.04363323129985824,0.04014257279586958,0.024434609527920613,-0.031415926535897934,0.019198621771937624,0.024434609527920613,0.04014257279586958,41.6,41.6,40.0,40.0,40.6,41.1,42.0,42.5,41.6,43.0,43.6,43.300000000000004,42.2,41.300000000000004,42.2,43.0,41.1,39.5,40.6,40.5
400465.440951019,(open),open,0.0,nan,0.0,nan,0.024434609527920613,-0.005235987755982989,0.024434609527920613,-0.13089969389957473,-0.010471975511965978,0.010471975511965978,0.024434609527920613,0.031415926535897934,-0.020943951023931956,0.019198621771937624,0.031415926535897934,0.024434609527920613,-0.019198621771937624,0.04363323129985824,0.04014257279586958,0.024434609527920613,-0.031415926535897934,0.020943951023931956,0.024434609527920613,0.04014257279586958,41.6,41.6,40.0,40.0,40.6,41.1,42.0,42.5,41.6,43.0,43.6,43.300000000000004,42.2,41.300000000000004,42.2,43.0,41.1,39.5,40.6,40.5
400465.441459909,(open),open,0.0,nan,0.0,nan,0.024434609527920613,-0.005235987755982989,0.024434609527920613,-0.13089969389957473,-0.010471975511965978,0.010471975511965978,0.024434609527920613,0.031415926535897934,-0.020943951023931956,0.019198621771937624,0.031415926535897934,0.024434609527920613,-0.019198621771937624,0.04363323129985824,0.04014257279586958,0.024434609527920613,-0.031415926535897934,0.020943951023931956,0.024434609527920613,0.04014257279586958,41.6,41.6,40.0,40.0,40.6,41.1,42.0,42.5,41.6,43.0,43.6,43.300000000000004,42.2,41.300000000000004,42.2,43.0,41.1,39.5,40.6,40.5
400465.450719282,(open),open,0.0,nan,0.0,nan,0.024434609527920613,-0.005235987755982989,0.024434609527920613,-0.13089969389957473,-0.006981317007977318,0.010471975511965978,0.024434609527920613,0.031415926535897934,-0.020943951023931956,0.019198621771937624,0.031415926535897934,0.024434609527920613,-0.019198621771937624,0.04363323129985824,0.04014257279586958,0.026179938779914945,-0.031415926535897934,0.020943951023931956,0.024434609527920613,0.04014257279586958,41.6,41.6,40.0,40.0,40.6,41.1,42.0,42.5,41.6,43.0,43.6,43.300000000000004,42.2,41.300000000000004,42.2,43.0,41.1,39.5,40.6,40.5
400465.451191148,(open),open,0.0,nan,0.0,nan,0.024434609527920613,-0.005235987755982989,0.024434609527920613,-0.13089969389957473,-0.006981317007977318,0.010471975511965978,0.024434609527920613,0.031415926535897934,-0.020943951023931956,0.019198621771937624,0.031415926535897934,0.024434609527920613,-0.019198621771937624,0.04363323129985824,0.04014257279586958,0.026179938779914945,-0.031415926535897934,0.020943951023931956,0.024434609527920613,0.04014257279586958,41.6,41.6,40.0,40.0,40.6,41.1,42.0,42.5,41.6,43.0,43.6,43.300000000000004,42.2,41.300000000000004,42.2,43.0,41.1,39.5,40.6,40.5
400465.460701466,(open),open,0.0,nan,0.0,nan,0.027925268031909273,-0.005235987755982989,0.024434609527920613,-0.13439035240356337,-0.010471975511965978,0.010471975511965978,0.024434609527920613,0.031415926535897934,-0.020943951023931956,0.019198621771937624,0.031415926535897934,0.024434609527920613,-0.019198621771937624,0.04363323129985824,0.04014257279586958,0.024434609527920613,-0.031415926535897934,0.019198621771937624,0.024434609527920613,0.04014257279586958,41.6,41.6,40.0,40.0,40.6,41.1,42.0,42.5,41.6,43.0,43.6,43.300000000000004,42.2,41.300000000000004,42.2,43.0,41.1,39.5,40.6,40.5
