t,joint,phase,cmd,meas,effort,temp,meas_rj_dg_1_1,meas_rj_dg_1_2,meas_rj_dg_1_3,meas_rj_dg_1_4,meas_rj_dg_2_1,meas_rj_dg_2_2,meas_rj_dg_2_3,meas_rj_dg_2_4,meas_rj_dg_3_1,meas_rj_dg_3_2,meas_rj_dg_3_3,meas_rj_dg_3_4,meas_rj_dg_4_1,meas_rj_dg_4_2,meas_rj_dg_4_3,meas_rj_dg_4_4,meas_rj_dg_5_1,meas_rj_dg_5_2,meas_rj_dg_5_3,meas_rj_dg_5_4,temp_rj_dg_1_1,temp_rj_dg_1_2,temp_rj_dg_1_3,temp_rj_dg_1_4,temp_rj_dg_2_1,temp_rj_dg_2_2,temp_rj_dg_2_3,temp_rj_dg_2_4,temp_rj_dg_3_1,temp_rj_dg_3_2,temp_rj_dg_3_3,temp_rj_dg_3_4,temp_rj_dg_4_1,temp_rj_dg_4_2,temp_rj_dg_4_3,temp_rj_dg_4_4,temp_rj_dg_5_1,temp_rj_dg_5_2,temp_rj_dg_5_3,temp_rj_dg_5_4
400374.542762016,(open),open,0.0,nan,0.0,nan,0.061086523819801536,-0.005235987755982989,0.20420352248333656,0.35779249665883756,-0.010471975511965978,0.3700098014227979,0.3752457891787809,0.10122909661567112,-0.029670597283903602,0.4363323129985824,0.24434609527920614,0.25132741228718347,-0.048869219055841226,0.39968039870670147,0.33859387488689996,0.2426007660272118,-0.031415926535897934,0.020943951023931956,0.3961897402027128,0.4066617157146788,41.5,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.5,43.300000000000004,42.1,41.2,42.1,43.1,41.0,39.300000000000004,40.6,40.5
400374.550555249,(open),open,0.0,nan,0.0,nan,0.061086523819801536,-0.005235987755982989,0.20420352248333656,0.35779249665883756,-0.010471975511965978,0.3700098014227979,0.3752457891787809,0.09773843811168245,-0.029670597283903602,0.4363323129985824,0.24434609527920614,0.25132741228718347,-0.048869219055841226,0.39968039870670147,0.33859387488689996,0.2426007660272118,-0.03490658503988659,0.020943951023931956,0.3961897402027128,0.4066617157146788,41.5,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.5,43.300000000000004,42.1,41.2,42.1,43.1,41.0,39.300000000000004,40.6,40.5
400374.550775386,(open),open,0.0,nan,0.0,nan,0.061086523819801536,-0.005235987755982989,0.20420352248333656,0.35779249665883756,-0.010471975511965978,0.3700098014227979,0.3752457891787809,0.09773843811168245,-0.029670597283903602,0.4363323129985824,0.24434609527920614,0.25132741228718347,-0.048869219055841226,0.39968039870670147,0.33859387488689996,0.2426007660272118,-0.03490658503988659,0.020943951023931956,0.3961897402027128,0.4066617157146788,41.5,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.5,43.300000000000004,42.1,41.2,42.1,43.1,41.0,39.300000000000004,40.6,40.5
400374.560673869,(open),open,0.0,nan,0.0,nan,0.061086523819801536,-0.005235987755982989,0.2007128639793479,0.35779249665883756,-0.010471975511965978,0.3700098014227979,0.3752457891787809,0.10122909661567112,-0.03316125578789226,0.4363323129985824,0.24434609527920614,0.25132741228718347,-0.048869219055841226,0.39968039870670147,0.33859387488689996,0.2426007660272118,-0.031415926535897934,0.020943951023931956,0.3961897402027128,0.4066617157146788,41.5,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.5,43.300000000000004,42.1,41.2,42.1,43.1,41.0,39.300000000000004,40.6,40.5
400374.560899293,(open),open,0.0,nan,0.0,nan,0.061086523819801536,-0.005235987755982989,0.2007128639793479,0.35779249665883756,-0.010471975511965978,0.3700098014227979,0.3752457891787809,0.10122909661567112,-0.03316125578789226,0.4363323129985824,0.24434609527920614,0.25132741228718347,-0.048869219055841226,0.39968039870670147,0.33859387488689996,0.2426007660272118,-0.031415926535897934,0.020943951023931956,0.3961897402027128,0.4066617157146788,41.5,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.5,43.300000000000004,42.1,41.2,42.1,43.1,41.0,39.300000000000004,40.6,40.5
400374.571062871,(open),open,0.0,nan,0.0,nan,0.05759586531581288,-0.005235987755982989,0.2007128639793479,0.35779249665883756,-0.010471975511965978,0.3700098014227979,0.3752457891787809,0.09773843811168245,-0.029670597283903602,0.4328416544945937,0.24434609527920614,0.25132741228718347,-0.05235987755982989,0.39968039870670147,0.33859387488689996,0.2426007660272118,-0.03490658503988659,0.020943951023931956,0.3961897402027128,0.4066617157146788,41.5,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.5,43.300000000000004,42.1,41.2,42.1,43.1,41.0,39.300000000000004,40.6,40.5
400374.571378561,(open),open,0.0,nan,0.0,nan,0.05759586531581288,-0.005235987755982989,0.2007128639793479,0.35779249665883756,-0.010471975511965978,0.3700098014227979,0.3752457891787809,0.09773843811168245,-0.029670597283903602,0.4328416544945937,0.24434609527920614,0.25132741228718347,-0.05235987755982989,0.39968039870670147,0.33859387488689996,0.2426007660272118,-0.03490658503988659,0.020943951023931956,0.3961897402027128,0.4066617157146788,41.5,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.5,43.300000000000004,42.1,41.2,42.1,43.1,41.0,39.300000000000004,40.6,40.5
400374.580549529,(open),open,0.0,nan,0.0,nan,0.061086523819801536,-0.005235987755982989,0.2007128639793479,0.35779249665883756,-0.010471975511965978,0.3700098014227979,0.3752457891787809,0.09773843811168245,-0.03316125578789226,0.4363323129985824,0.24434609527920614,0.25132741228718347,-0.048869219055841226,0.39968039870670147,0.33859387488689996,0.2426007660272118,-0.031415926535897934,0.020943951023931956,0.3961897402027128,0.4066617157146788,41.5,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.5,43.300000000000004,42.1,41.2,42.1,43.1,41.0,39.300000000000004,40.6,40.5
400374.580759099,(open),open,0.0,nan,0.0,nan,0.061086523819801536,-0.005235987755982989,0.2007128639793479,0.35779249665883756,-0.010471975511965978,0.3700098014227979,0.3752457891787809,0.09773843811168245,-0.03316125578789226,0.4363323129985824,0.24434609527920614,0.25132741228718347,-0.048869219055841226,0.39968039870670147,0.33859387488689996,0.2426007660272118,-0.031415926535897934,0.020943951023931956,0.3961897402027128,0.4066617157146788,41.5,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.5,43.300000000000004,42.1,41.2,42.1,43.1,41.0,39.300000000000004,40.6,40.5
400374.590527882,(open),open,0.0,nan,0.0,nan,0.061086523819801536,-0.005235987755982989,0.2007128639793479,0.35779249665883756,-0.010471975511965978,0.3700098014227979,0.3752457891787809,0.09773843811168245,-0.029670597283903602,0.4363323129985824,0.24434609527920614,0.25132741228718347,-0.048869219055841226,0.39968039870670147,0.33859387488689996,0.2426007660272118,-0.031415926535897934,0.020943951023931956,0.3961897402027128,0.4066617157146788,41.5,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.5,43.300000000000004,42.1,41.2,42.1,43.1,41.0,39.300000000000004,40.6,40.5
