t_send,step_idx,publish_dt,cmd_r_aj_1,cmd_r_aj_2,cmd_r_aj_3,cmd_r_aj_4,cmd_r_aj_5,cmd_r_aj_6,cmd_r_aj_7,meas_r_aj_1,meas_r_aj_2,meas_r_aj_3,meas_r_aj_4,meas_r_aj_5,meas_r_aj_6,meas_r_aj_7,eff_r_aj_1,eff_r_aj_2,eff_r_aj_3,eff_r_aj_4,eff_r_aj_5,eff_r_aj_6,eff_r_aj_7,cmd_gripper
390597.175444195,-1,0.04,-0.005531395437552433,0.004768444342717615,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.015068284122987663,0.007438773174639479,-0.005531395437552433,0.004768444342717615,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.015068284122987663,0.007438773174639479,0.27692307692307594,-0.40879120879120734,0.5948717948717928,-0.28034188034187935,-0.0219780219780219,0.1391941391941387,-0.0805860805860803,0.0
390597.215441419,-1,0.04,-0.004148546578164325,0.004826333229098534,-0.007009613183794894,0.0030041199359120974,0.0007152666514076422,-0.011301213092240747,0.005579079880979609,-0.005531395437552433,0.004768444342717615,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.015449759670405072,0.007438773174639479,0.17142857142857082,-0.3032967032967022,0.3076923076923066,-0.17094017094017033,-0.0219780219780219,0.07570207570207543,-0.0512820512820511,0.0
390597.255443242,-1,0.04,-0.0027656977187762166,0.004884222115479453,-0.0046730754558632626,0.0020027466239413982,0.0004768444342717615,-0.0075341420614938315,0.0037193865873197396,-0.005531395437552433,0.004768444342717615,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.015449759670405072,0.007438773174639479,-0.03956043956043942,-0.09230769230769198,0.04786324786324769,-0.06153846153846132,-0.012210012210012167,0.012210012210012167,-0.0219780219780219,0.0
390597.295442069,-1,0.04,-0.0013828488593881083,0.004942111001860372,-0.0023365377279316313,0.0010013733119706991,0.00023842221713588074,-0.0037670710307469157,0.0018596932936598698,-0.005531395437552433,0.004768444342717615,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.015449759670405072,0.007438773174639479,0.03956043956043942,-0.0659340659340657,0.1982905982905976,-0.14358974358974308,-0.017094017094017033,0.04639804639804623,-0.04151404151404137,0.0
390597.335438437,-1,0.04,0.0,0.004999999888241291,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.004768444342717615,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.015449759670405072,0.007438773174639479,0.11868131868131826,-0.0659340659340657,0.37606837606837473,-0.18461538461538396,-0.017094017094017033,0.07570207570207543,-0.056166056166055967,0.0
390597.375441068,0,0.04,0.0,0.004999999888241291,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.004768444342717615,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.015449759670405072,0.007438773174639479,0.22417582417582338,-0.0659340659340657,0.5264957264957246,-0.23931623931623847,-0.0219780219780219,0.11477411477411437,-0.07570207570207543,0.0
390597.415437774,1,0.04,0.0,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.004768444342717615,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.015449759670405072,0.007438773174639479,0.27692307692307594,-0.0659340659340657,0.6085470085470064,-0.294017094017093,-0.0219780219780219,0.13431013431013383,-0.08547008547008517,0.0
390597.455414046,2,0.04,0.0,0.015000000596046448,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.004768444342717615,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.015068284122987663,0.007438773174639479,0.3032967032967022,0.03956043956043942,0.5948717948717928,-0.3076923076923066,-0.026862026862026767,0.1391941391941387,-0.08547008547008517,0.0
390597.495436753,3,0.04,0.0,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.004768444342717615,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.015068284122987663,0.007438773174639479,0.3032967032967022,0.3296703296703285,0.62222222222222,-0.294017094017093,-0.026862026862026767,0.13431013431013383,-0.08547008547008517,0.0
390597.535434022,4,0.04,0.0,0.02500000037252903,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.005149919890135024,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.015068284122987663,0.007438773174639479,0.3032967032967022,0.7252747252747227,0.6085470085470064,-0.294017094017093,-0.026862026862026767,0.13431013431013383,-0.08547008547008517,0.0
390597.575438105,5,0.04,0.0,0.030000001192092896,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.005912870984969842,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.015068284122987663,0.007438773174639479,0.3032967032967022,1.041758241758238,0.5948717948717928,-0.3076923076923066,-0.017094017094017033,0.13431013431013383,-0.08547008547008517,0.0
390597.615385856,6,0.04,0.0,0.03500000014901161,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.007820248722056888,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.013542381933318026,0.007438773174639479,0.3032967032967022,1.1736263736263695,0.6085470085470064,-0.294017094017093,-0.026862026862026767,0.09035409035409003,-0.08547008547008517,0.0
390597.655426967,7,0.04,0.0,0.03999999910593033,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.01201647974364839,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.008964675364309116,0.007438773174639479,0.3032967032967022,1.1472527472527432,0.6085470085470064,-0.28034188034187935,-0.0219780219780219,0.04151404151404137,-0.08547008547008517,0.0
390597.695442938,8,0.04,0.0,0.044999998062849045,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.0165941863126573,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.006675822079804661,0.007438773174639479,0.27692307692307594,1.3054945054945009,0.6085470085470064,-0.294017094017093,-0.0219780219780219,0.03174603174603163,-0.0805860805860803,0.0
390597.7354369,9,0.04,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.020027466239413982,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.007438773174639479,0.007438773174639479,0.3032967032967022,1.3846153846153797,0.5948717948717928,-0.294017094017093,-0.0219780219780219,0.07081807081807057,-0.0805860805860803,0.0
390597.77543649,10,0.04,0.0,0.054999999701976776,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.023460746166170665,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.007438773174639479,0.007438773174639479,0.3032967032967022,1.3318681318681271,0.6085470085470064,-0.294017094017093,-0.026862026862026767,0.0659340659340657,-0.08547008547008517,0.0
390597.815439564,11,0.04,0.0,0.06000000238418579,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.028801403830014394,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.007820248722056888,0.007438773174639479,0.3032967032967022,1.3582417582417534,0.5948717948717928,-0.28034188034187935,-0.026862026862026767,0.06105006105006083,-0.08547008547008517,0.0
390597.855430131,12,0.04,0.0,0.06499999761581421,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.03566796368352776,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.007820248722056888,0.007438773174639479,0.3032967032967022,1.0681318681318643,0.5948717948717928,-0.294017094017093,-0.0219780219780219,0.0659340659340657,-0.08547008547008517,0.0
390597.895433278,13,0.04,0.0,0.07000000029802322,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.041771572442206306,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.007820248722056888,0.007438773174639479,0.3032967032967022,1.1472527472527432,0.62222222222222,-0.28034188034187935,-0.0219780219780219,0.06105006105006083,-0.0805860805860803,0.0
390597.935437147,14,0.04,0.0,0.07500000298023224,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.047112230106050035,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.007820248722056888,0.007438773174639479,0.27692307692307594,1.120879120879117,0.6085470085470064,-0.294017094017093,-0.026862026862026767,0.06105006105006083,-0.08547008547008517,0.0
390597.975437724,15,0.04,0.0,0.07999999821186066,0.0,0.0,0.0,0.0,0.0,-0.005531395437552433,0.051689936675058945,-0.009346150911726525,0.0040054932478827965,0.000953688868543523,-0.007820248722056888,0.007438773174639479,0.3032967032967022,1.120879120879117,0.5948717948717928,-0.3076923076923066,-0.0219780219780219,0.06105006105006083,-0.0805860805860803,0.0
