t_recv,t_send,step_idx,arm_target_0,arm_target_1,arm_target_2,arm_target_3,arm_target_4,arm_target_5,arm_target_6,grip_cmd
1788154847.462614,1788154847.461864,0,-0.009592,-0.374678,0.001288,0.930996,-0.465680,-0.002781,-0.328675,0.044000
1788154847.600890,1788154847.600421,1,0.000943,-0.372045,0.008103,0.925917,-0.465111,-0.009830,-0.324702,0.044000
1788154847.672659,1788154847.672370,2,0.018059,-0.367060,0.021341,0.918014,-0.462980,-0.021451,-0.318159,0.044000
1788154847.745590,1788154847.745243,3,0.040082,-0.358666,0.042225,0.906763,-0.458417,-0.036701,-0.308346,0.044000
1788154847.830448,1788154847.828858,4,0.064335,-0.346751,0.071085,0.892440,-0.450617,-0.054948,-0.294867,0.044000
1788154847.908299,1788154847.908055,5,0.087835,-0.332257,0.107772,0.876070,-0.438525,-0.076044,-0.277740,0.044000
1788154847.989850,1788154847.989586,6,0.108252,-0.316123,0.149775,0.859356,-0.421446,-0.100002,-0.257875,0.044000
1788154848.068445,1788154848.068090,7,0.123463,-0.302654,0.192080,0.852895,-0.362314,-0.110211,-0.263463,0.044000
1788154848.147747,1788154848.146890,8,0.122816,-0.307424,0.214299,0.854622,-0.334695,-0.114820,-0.265979,0.044000
1788154848.252160,1788154848.251901,9,0.117548,-0.312641,0.240550,0.855619,-0.306997,-0.123030,-0.266458,0.044000
1788154848.346446,1788154848.346181,10,0.104315,-0.317733,0.270290,0.854116,-0.282319,-0.137471,-0.261620,0.044000
1788154848.427178,1788154848.426937,11,0.082340,-0.322409,0.305368,0.850216,-0.261069,-0.158883,-0.250891,0.044000
1788154848.502143,1788154848.501700,12,0.052426,-0.326075,0.344660,0.843647,-0.242264,-0.185963,-0.234692,0.043741
1788154848.595325,1788154848.595054,13,0.017019,-0.329638,0.382587,0.834783,-0.223614,-0.213410,-0.216787,0.043928
1788154848.673037,1788154848.672694,14,-0.022549,-0.336133,0.412379,0.823010,-0.208962,-0.237353,-0.199434,0.043964
1788154848.753292,1788154848.753021,15,-0.064021,-0.346085,0.430490,0.806046,-0.200959,-0.255454,-0.182104,0.043930
1788154848.836496,1788154848.836225,16,-0.105864,-0.357917,0.437759,0.782934,-0.197625,-0.267774,-0.163770,0.043910
1788154848.926884,1788154848.926611,17,-0.147578,-0.370068,0.438138,0.755317,-0.195746,-0.276342,-0.144566,0.043925
1788154849.022146,1788154849.021590,18,-0.188897,-0.380413,0.434095,0.724901,-0.194682,-0.282425,-0.125064,0.043963
1788154849.106189,1788154849.105908,19,-0.229018,-0.387119,0.427018,0.693344,-0.194644,-0.286900,-0.105959,0.044000
1788154849.197948,1788154849.197681,20,-0.265767,-0.389277,0.424596,0.663311,-0.195980,-0.294555,-0.088124,0.044000
1788154849.287112,1788154849.286829,21,-0.295380,-0.383354,0.427739,0.635230,-0.200762,-0.305886,-0.071557,0.044000
1788154849.373913,1788154849.373681,22,-0.320945,-0.366537,0.427054,0.607094,-0.204842,-0.313910,-0.055671,0.044000
1788154849.463176,1788154849.462942,23,-0.344121,-0.341694,0.419618,0.580850,-0.207201,-0.315501,-0.042556,0.044000
1788154849.549155,1788154849.548918,24,-0.364576,-0.313244,0.412034,0.560051,-0.212362,-0.309994,-0.033115,0.044000
1788154849.638906,1788154849.638269,25,-0.384622,-0.284298,0.404539,0.542099,-0.220302,-0.300060,-0.024349,0.044000
1788154849.717782,1788154849.717522,26,-0.405378,-0.257419,0.396692,0.526195,-0.229544,-0.284967,-0.014641,0.043987
1788154849.801755,1788154849.801495,27,-0.427148,-0.233749,0.387177,0.513259,-0.238243,-0.263744,-0.004834,0.043974
1788154849.884513,1788154849.884261,28,-0.449776,-0.212684,0.374398,0.504207,-0.246455,-0.237185,0.003577,0.039826
1788154849.969422,1788154849.969198,29,-0.472420,-0.194472,0.360821,0.499252,-0.253252,-0.207808,0.010293,0.035702
1788154850.055585,1788154850.055324,30,-0.494712,-0.179148,0.348196,0.496106,-0.256772,-0.179968,0.016503,0.031726
1788154850.143307,1788154850.143065,31,-0.516800,-0.167555,0.338267,0.493280,-0.258568,-0.157709,0.022098,0.029695
1788154850.233540,1788154850.233322,32,-0.538983,-0.160236,0.330436,0.490592,-0.259776,-0.143429,0.026962,0.028709
1788154850.322669,1788154850.322438,33,-0.559725,-0.157720,0.323926,0.489448,-0.260916,-0.138339,0.030387,0.028190
1788154850.414995,1788154850.414776,34,-0.577547,-0.159724,0.318200,0.491715,-0.262204,-0.141396,0.031568,0.027601
1788154850.509820,1788154850.509235,35,-0.591212,-0.165483,0.312828,0.498557,-0.264034,-0.150528,0.030069,0.027116
1788154850.601869,1788154850.600620,36,-0.599797,-0.173764,0.306612,0.510456,-0.267355,-0.162479,0.025545,0.026694
1788154850.690551,1788154850.689734,37,-0.603106,-0.183776,0.299506,0.527413,-0.271450,-0.175264,0.018199,0.026350
1788154850.768708,1788154850.768478,38,-0.601288,-0.195031,0.291745,0.549410,-0.275870,-0.187980,0.008182,0.026026
1788154850.850757,1788154850.850239,39,-0.594522,-0.207028,0.283185,0.576366,-0.280677,-0.199257,-0.004463,0.025777
1788154850.939496,1788154850.939101,40,-0.582999,-0.219145,0.273289,0.607915,-0.286140,-0.207154,-0.019657,0.025572
1788154851.021843,1788154851.021601,41,-0.567233,-0.231044,0.261552,0.643394,-0.292057,-0.210836,-0.037048,0.025376
1788154851.102031,1788154851.101771,42,-0.547650,-0.242979,0.248183,0.682475,-0.297883,-0.211418,-0.056296,0.025266
1788154851.198428,1788154851.198111,43,-0.524137,-0.255319,0.233179,0.723826,-0.304545,-0.210309,-0.077925,0.025009
1788154851.283874,1788154851.283588,44,-0.495331,-0.268528,0.216925,0.766408,-0.313008,-0.209019,-0.100758,0.024668
1788154851.366000,1788154851.365675,45,-0.459850,-0.283084,0.200963,0.809297,-0.321996,-0.209121,-0.122767,0.024556
1788154851.449537,1788154851.449274,46,-0.418592,-0.297808,0.187041,0.850710,-0.328899,-0.208532,-0.143771,0.024590
1788154851.531889,1788154851.531656,47,-0.375405,-0.311155,0.175874,0.888051,-0.332143,-0.206318,-0.163220,0.024439
1788154851.614755,1788154851.613739,48,-0.333871,-0.321893,0.167577,0.919298,-0.332533,-0.202546,-0.181646,0.024432
1788154851.701352,1788154851.701063,49,-0.296461,-0.329112,0.162158,0.943046,-0.330713,-0.197431,-0.199481,0.024589
1788154851.790539,1788154851.790326,50,-0.264082,-0.332693,0.159469,0.960509,-0.327038,-0.191288,-0.216213,0.024565
1788154851.876020,1788154851.875803,51,-0.237492,-0.332912,0.159041,0.973474,-0.321959,-0.184556,-0.231910,0.024616
1788154851.966521,1788154851.963486,52,-0.217624,-0.329147,0.159211,0.982716,-0.316330,-0.175206,-0.246875,0.024658
1788154852.044869,1788154852.044641,53,-0.203324,-0.321425,0.158015,0.990380,-0.311869,-0.161985,-0.261947,0.024763
1788154852.136510,1788154852.134482,54,-0.192786,-0.310858,0.154532,0.998645,-0.309146,-0.145245,-0.277830,0.024814
1788154852.225728,1788154852.225449,55,-0.185101,-0.298620,0.148286,1.008160,-0.308564,-0.125333,-0.293462,0.024910
1788154852.325225,1788154852.323044,56,-0.179451,-0.285811,0.139010,1.018923,-0.310035,-0.102462,-0.307315,0.024962
1788154852.404267,1788154852.403983,57,-0.175323,-0.273329,0.126255,1.030096,-0.313530,-0.076921,-0.318533,0.024928
1788154852.487272,1788154852.486978,58,-0.171872,-0.263288,0.112032,1.040409,-0.318100,-0.051302,-0.326491,0.025017
1788154852.576957,1788154852.576315,59,-0.169292,-0.255586,0.098001,1.047586,-0.322572,-0.026353,-0.330659,0.024979
1788154852.666964,1788154852.666605,60,-0.167641,-0.251478,0.085837,1.050411,-0.326515,-0.005656,-0.330923,0.025112
1788154852.752486,1788154852.752212,61,-0.164627,-0.251202,0.076210,1.048999,-0.329879,0.008049,-0.333277,0.024972
1788154852.852893,1788154852.852626,62,-0.158381,-0.252983,0.069954,1.045760,-0.333353,0.014695,-0.340986,0.025090
1788154852.944785,1788154852.944413,63,-0.153584,-0.256058,0.068176,1.039849,-0.335833,0.014831,-0.348609,0.025123
1788154853.032770,1788154853.032397,64,-0.152215,-0.255217,0.068195,1.031819,-0.338030,0.016839,-0.357938,0.025125
1788154853.118411,1788154853.117978,65,-0.154113,-0.250072,0.067635,1.023017,-0.339457,0.023745,-0.370058,0.024991
1788154853.206074,1788154853.205315,66,-0.158459,-0.242164,0.064302,1.015236,-0.341298,0.036212,-0.381913,0.024931
1788154853.293125,1788154853.292895,67,-0.164047,-0.234749,0.058546,1.009178,-0.343505,0.051328,-0.390495,0.024892
1788154853.377276,1788154853.377037,68,-0.170232,-0.230593,0.051352,1.003043,-0.345637,0.065494,-0.395110,0.024943
1788154853.459998,1788154853.459754,69,-0.173578,-0.229897,0.043488,0.996649,-0.347784,0.077434,-0.398709,0.024776
1788154853.538794,1788154853.538580,70,-0.172299,-0.232003,0.038574,0.990944,-0.351215,0.083281,-0.401114,0.024823
1788154853.625527,1788154853.625283,71,-0.169067,-0.236004,0.038759,0.984724,-0.353644,0.081930,-0.403592,0.024881
1788154853.709582,1788154853.709288,72,-0.167186,-0.237950,0.041969,0.978161,-0.356018,0.078698,-0.407037,0.024890
1788154853.790668,1788154853.790341,73,-0.166703,-0.234874,0.045095,0.974354,-0.358125,0.080860,-0.414983,0.025246
1788154853.873544,1788154853.873336,74,-0.169109,-0.227908,0.045744,0.973527,-0.359265,0.090507,-0.420699,0.025163
1788154853.955848,1788154853.955332,75,-0.172565,-0.220024,0.043765,0.975794,-0.360815,0.104410,-0.422910,0.025285
1788154854.037593,1788154854.037345,76,-0.176391,-0.212867,0.038890,0.980036,-0.363210,0.120472,-0.421985,0.025249
1788154854.123250,1788154854.123024,77,-0.179126,-0.208131,0.032222,0.985689,-0.365875,0.136502,-0.418576,0.025356
1788154854.204485,1788154854.204228,78,-0.180335,-0.204931,0.024976,0.991206,-0.369003,0.152432,-0.412725,0.025145
1788154854.287136,1788154854.286873,79,-0.180567,-0.204136,0.019800,0.994842,-0.372188,0.164388,-0.403019,0.025161
1788154854.381723,1788154854.381455,80,-0.179140,-0.205935,0.018609,0.995820,-0.374543,0.170217,-0.393216,0.025226
1788154854.462849,1788154854.462603,81,-0.176142,-0.206072,0.020574,0.995556,-0.377055,0.174655,-0.386893,0.025256
1788154854.544734,1788154854.544391,82,-0.174416,-0.203120,0.025238,0.996524,-0.380941,0.179149,-0.383577,0.025185
1788154854.627573,1788154854.627200,83,-0.175393,-0.197729,0.028667,0.999676,-0.382403,0.187252,-0.382907,0.024947
1788154854.708197,1788154854.707926,84,-0.177483,-0.191125,0.028225,1.005074,-0.383568,0.199771,-0.385708,0.024824
1788154854.788990,1788154854.788731,85,-0.181296,-0.184548,0.024055,1.011396,-0.385245,0.215457,-0.387281,0.024925
1788154854.873704,1788154854.873453,86,-0.186583,-0.179512,0.018029,1.016388,-0.385844,0.232564,-0.386337,0.025071
1788154854.955599,1788154854.955371,87,-0.192406,-0.175713,0.011434,1.018294,-0.385708,0.250045,-0.382693,0.025154
1788154855.042866,1788154855.042627,88,-0.197060,-0.174435,0.007121,1.016347,-0.384898,0.263112,-0.376080,0.025197
1788154855.132873,1788154855.132650,89,-0.197746,-0.174607,0.008088,1.013264,-0.385452,0.269333,-0.372514,0.025288
1788154855.216358,1788154855.216014,90,-0.197864,-0.175193,0.013304,1.008632,-0.386860,0.268428,-0.371134,0.025221
1788154855.302003,1788154855.301808,91,-0.197620,-0.174990,0.020042,1.005911,-0.389256,0.264510,-0.373973,0.025187
1788154855.394140,1788154855.393888,92,-0.200103,-0.172194,0.024338,1.005237,-0.392303,0.264856,-0.379545,0.025341
1788154855.477283,1788154855.477014,93,-0.205343,-0.167665,0.024161,1.006465,-0.393682,0.272101,-0.383706,0.025514
1788154855.563141,1788154855.562913,94,-0.212714,-0.163534,0.020446,1.007587,-0.394570,0.283540,-0.383909,0.025547
1788154855.646291,1788154855.646061,95,-0.220022,-0.161369,0.014889,1.007430,-0.394409,0.296152,-0.381261,0.025527
1788154855.730006,1788154855.729739,96,-0.224126,-0.161968,0.010738,1.005860,-0.392859,0.306050,-0.375952,0.025535
1788154855.811899,1788154855.811532,97,-0.223030,-0.164165,0.011354,1.004415,-0.393757,0.308977,-0.373553,0.025640
1788154855.897296,1788154855.896984,98,-0.220402,-0.165660,0.015712,1.001855,-0.395433,0.306725,-0.374332,0.025586
1788154855.980124,1788154855.979444,99,-0.220523,-0.165655,0.021597,0.998299,-0.399117,0.302601,-0.375337,0.025437
1788154856.066285,1788154856.066061,100,-0.223728,-0.162751,0.024509,0.995578,-0.403412,0.303316,-0.380225,0.025534
1788154856.147079,1788154856.146754,101,-0.230417,-0.158307,0.022721,0.993189,-0.406115,0.310413,-0.383429,0.025393
1788154856.239200,1788154856.238842,102,-0.237082,-0.155868,0.018430,0.991873,-0.406915,0.319412,-0.384673,0.025354
1788154856.324044,1788154856.323645,103,-0.240574,-0.155169,0.012745,0.991019,-0.405297,0.329717,-0.385538,0.025330
1788154856.405873,1788154856.405489,104,-0.239613,-0.156584,0.010122,0.989706,-0.403608,0.335394,-0.384189,0.025445
1788154856.490357,1788154856.489977,105,-0.236860,-0.159332,0.011713,0.986691,-0.404489,0.333762,-0.379077,0.025443
1788154856.574299,1788154856.573947,106,-0.234401,-0.160970,0.016409,0.982489,-0.407035,0.329616,-0.373804,0.025469
1788154856.660614,1788154856.660350,107,-0.233520,-0.161196,0.023193,0.980488,-0.413305,0.323679,-0.370075,0.025475
1788154856.750004,1788154856.749753,108,-0.234272,-0.158734,0.027522,0.982841,-0.417826,0.324058,-0.369869,0.025430
1788154856.833205,1788154856.832914,109,-0.236753,-0.154638,0.027494,0.988157,-0.419531,0.331640,-0.368459,0.025381
1788154856.917200,1788154856.916546,110,-0.239693,-0.152541,0.025263,0.994699,-0.419532,0.340498,-0.363678,0.025370
1788154857.003549,1788154857.003173,111,-0.240780,-0.152279,0.021715,1.001365,-0.416982,0.350245,-0.356663,0.025368
1788154857.086993,1788154857.086741,112,-0.238925,-0.154177,0.020820,1.007561,-0.415023,0.356116,-0.346754,0.025382
1788154857.170916,1788154857.170647,113,-0.233819,-0.157459,0.024708,1.013370,-0.414390,0.355305,-0.338605,0.025416
1788154857.252926,1788154857.252680,114,-0.227930,-0.159001,0.031520,1.018788,-0.414676,0.352555,-0.333491,0.025434
1788154857.340969,1788154857.340669,115,-0.224323,-0.159620,0.039405,1.025271,-0.418339,0.347855,-0.329360,0.025429
1788154857.425505,1788154857.425290,116,-0.223345,-0.159017,0.044060,1.034036,-0.420861,0.347997,-0.327687,0.025402
1788154857.510597,1788154857.510333,117,-0.223874,-0.157545,0.043574,1.043648,-0.421423,0.353512,-0.329029,0.025410
1788154857.593655,1788154857.593041,118,-0.226865,-0.156101,0.039324,1.049889,-0.419148,0.362831,-0.329309,0.025387
1788154857.673516,1788154857.673245,119,-0.230983,-0.155433,0.034018,1.050979,-0.415253,0.373461,-0.327844,0.025377
1788154857.757881,1788154857.757380,120,-0.230474,-0.155626,0.030353,1.051689,-0.411167,0.382120,-0.326546,0.025427
1788154857.842974,1788154857.842744,121,-0.227145,-0.155805,0.031081,1.053223,-0.411957,0.385522,-0.324474,0.025506
1788154857.929267,1788154857.929022,122,-0.225064,-0.157421,0.036240,1.050954,-0.411532,0.380835,-0.321936,0.025440
1788154858.008987,1788154858.008775,123,-0.223941,-0.157659,0.042676,1.047021,-0.413041,0.374488,-0.322736,0.025436
1788154858.095992,1788154858.095736,124,-0.225715,-0.154840,0.046080,1.043918,-0.418790,0.372328,-0.326624,0.025429
1788154858.179139,1788154858.178661,125,-0.230153,-0.150346,0.044517,1.041981,-0.420972,0.377888,-0.329298,0.025372
1788154858.271779,1788154858.271280,126,-0.235420,-0.148164,0.040014,1.040534,-0.421961,0.384746,-0.328315,0.025372
1788154858.356165,1788154858.355890,127,-0.238120,-0.147556,0.034181,1.039514,-0.419798,0.393291,-0.326672,0.025395
1788154858.436170,1788154858.435850,128,-0.237298,-0.147653,0.031166,1.038651,-0.417868,0.399574,-0.323200,0.025423
1788154858.518141,1788154858.517818,129,-0.234049,-0.149121,0.034013,1.037360,-0.417937,0.397871,-0.320048,0.025442
1788154858.603108,1788154858.602804,130,-0.231212,-0.150112,0.040214,1.036543,-0.420491,0.391991,-0.318067,0.025459
1788154858.685228,1788154858.684499,131,-0.230073,-0.151015,0.046053,1.038431,-0.425754,0.384607,-0.317933,0.025440
1788154858.769733,1788154858.769503,132,-0.228843,-0.150518,0.047701,1.044804,-0.428571,0.383927,-0.321769,0.025371
1788154858.861291,1788154858.860973,133,-0.232162,-0.148316,0.044217,1.048274,-0.428405,0.390103,-0.322134,0.025426
1788154858.947528,1788154858.947233,134,-0.236624,-0.147491,0.039095,1.048215,-0.425123,0.398327,-0.319684,0.025390
1788154859.034269,1788154859.033927,135,-0.236915,-0.148361,0.036465,1.047535,-0.420479,0.404490,-0.316461,0.025379
1788154859.127385,1788154859.127043,136,-0.231119,-0.150193,0.038817,1.050048,-0.420631,0.403357,-0.317567,0.025416
1788154859.221384,1788154859.221126,137,-0.226117,-0.151460,0.043944,1.050244,-0.420586,0.397459,-0.320029,0.025423
1788154859.300387,1788154859.299530,138,-0.224750,-0.150315,0.048060,1.049692,-0.424495,0.393206,-0.322990,0.025438
1788154859.390829,1788154859.390092,139,-0.227688,-0.147136,0.047642,1.048025,-0.427567,0.395507,-0.326685,0.025369
1788154859.471882,1788154859.471547,140,-0.233728,-0.145291,0.043559,1.043655,-0.428384,0.400003,-0.329575,0.025508
1788154859.552972,1788154859.552677,141,-0.238506,-0.144405,0.038494,1.036456,-0.423891,0.406683,-0.332644,0.025476
1788154859.638492,1788154859.637977,142,-0.240818,-0.145186,0.035882,1.032321,-0.426412,0.409273,-0.332315,0.025548
1788154859.722665,1788154859.722394,143,-0.240507,-0.147442,0.037491,1.028675,-0.422870,0.407414,-0.330242,0.025483
1788154859.812343,1788154859.812053,144,-0.237730,-0.150679,0.042760,1.025462,-0.422591,0.398823,-0.328921,0.025489
1788154859.900005,1788154859.899695,145,-0.234885,-0.152744,0.049347,1.024848,-0.426465,0.388100,-0.329461,0.025497
1788154859.979767,1788154859.979281,146,-0.233850,-0.152556,0.053197,1.027842,-0.431374,0.382139,-0.332669,0.025454
1788154860.062186,1788154860.061861,147,-0.236061,-0.151611,0.051642,1.030478,-0.430935,0.383815,-0.332689,0.025395
1788154860.145205,1788154860.144937,148,-0.237737,-0.152179,0.047144,1.032907,-0.429191,0.388384,-0.330202,0.025394
1788154860.228766,1788154860.228504,149,-0.236036,-0.151697,0.043571,1.036462,-0.426717,0.395546,-0.327004,0.025584
1788154860.310674,1788154860.310447,150,-0.234921,-0.152626,0.045062,1.035940,-0.423988,0.396632,-0.319479,0.025617
1788154860.390827,1788154860.389477,151,-0.234442,-0.152727,0.050512,1.032267,-0.422562,0.395284,-0.315038,0.025460
1788154860.472005,1788154860.471756,152,-0.232988,-0.151869,0.055501,1.032862,-0.427107,0.392835,-0.316494,0.025483
1788154860.554736,1788154860.554476,153,-0.235981,-0.148929,0.055129,1.034106,-0.429174,0.396823,-0.314152,0.025595
1788154860.634744,1788154860.634513,154,-0.238663,-0.147860,0.052011,1.035921,-0.427331,0.402783,-0.309149,0.025481
1788154860.715726,1788154860.715465,155,-0.238743,-0.148578,0.051029,1.037784,-0.425811,0.406463,-0.305478,0.025422
1788154860.800951,1788154860.800572,156,-0.232711,-0.151564,0.054459,1.042308,-0.423425,0.402806,-0.308297,0.025618
1788154860.883101,1788154860.882849,157,-0.226025,-0.154890,0.059186,1.044809,-0.421922,0.393546,-0.314368,0.025641
1788154860.969656,1788154860.969375,158,-0.222827,-0.156304,0.063127,1.045063,-0.423253,0.385318,-0.320505,0.025499
1788154861.051950,1788154861.051681,159,-0.225406,-0.154002,0.063276,1.042424,-0.425458,0.384409,-0.325937,0.025344
1788154861.134189,1788154861.133909,160,-0.230622,-0.150398,0.059587,1.039368,-0.426424,0.389106,-0.330670,0.025420
1788154861.218959,1788154861.218714,161,-0.236085,-0.148944,0.053494,1.035854,-0.425479,0.394454,-0.333032,0.025318
1788154861.303225,1788154861.302980,162,-0.237692,-0.150014,0.046708,1.034105,-0.423371,0.398972,-0.335600,0.025503
1788154861.391104,1788154861.388376,163,-0.235849,-0.152099,0.042938,1.033652,-0.421902,0.400206,-0.336728,0.025472
