t_send,step_idx,publish_dt,cmd_l_aj_1,cmd_l_aj_2,cmd_l_aj_3,cmd_l_aj_4,cmd_l_aj_5,cmd_l_aj_6,cmd_l_aj_7,meas_l_aj_1,meas_l_aj_2,meas_l_aj_3,meas_l_aj_4,meas_l_aj_5,meas_l_aj_6,meas_l_aj_7,eff_l_aj_1,eff_l_aj_2,eff_l_aj_3,eff_l_aj_4,eff_l_aj_5,eff_l_aj_6,eff_l_aj_7,cmd_gripper
361425.937868235,-1,0.02,-0.0005722133211261138,-0.0024795910582131597,0.004768444342717615,0.005912870984969842,0.0036240177004653873,-0.014305333028152845,0.0001907377737087046,-0.0005722133211261138,-0.0024795910582131597,0.004768444342717615,0.005912870984969842,0.0036240177004653873,-0.014305333028152845,0.0001907377737087046,-0.01318681318681314,0.0659340659340657,-0.3623931623931611,-0.403418803418802,-0.0512820512820511,0.12942612942612897,-0.012210012210012167,0.04399999976158142
361425.957865665,-1,0.02,-0.0005006866559853496,-0.0021696421759365148,0.004172388799877913,0.005173762111848612,0.003171015487907214,-0.012517166399633739,0.00016689555199511652,-0.0005722133211261138,-0.0024795910582131597,0.004768444342717615,0.005912870984969842,0.0036240177004653873,-0.014305333028152845,0.0001907377737087046,-0.03956043956043942,0.09230769230769198,-0.3623931623931611,-0.403418803418802,-0.0512820512820511,0.12942612942612897,-0.017094017094017033,0.04399999976158142
361425.977864422,-1,0.02,-0.00042915999084458534,-0.0018596932936598698,0.003576333257038211,0.004434653238727382,0.0027180132753490405,-0.010728999771114633,0.00014305333028152845,-0.0005722133211261138,-0.0024795910582131597,0.004768444342717615,0.005912870984969842,0.0036240177004653873,-0.014305333028152845,0.0001907377737087046,-0.03956043956043942,0.03956043956043942,-0.2666666666666657,-0.294017094017093,-0.0366300366300365,0.10012210012209977,-0.012210012210012167,0.04399999976158142
361425.997828814,-1,0.02,-0.0003576333257038211,-0.0015497444113832248,0.0029802777141985093,0.0036955443656061515,0.002265011062790867,-0.008940833142595528,0.00011921110856794037,-0.0005722133211261138,-0.0024795910582131597,0.004768444342717615,0.005912870984969842,0.007438773174639479,-0.014686808575570254,0.0001907377737087046,-0.0659340659340657,-0.0659340659340657,-0.07521367521367495,-0.08888888888888857,-0.1391941391941387,0.0219780219780219,-0.0024420024420024333,0.04399999976158142
361426.017867279,-1,0.02,-0.0002861066605630569,-0.0012397955291065799,0.0023842221713588074,0.002956435492484921,0.0018120088502326936,-0.007152666514076422,9.53688868543523e-05,-0.0005722133211261138,-0.0024795910582131597,0.004768444342717615,0.005912870984969842,0.006294346532387252,-0.014686808575570254,0.0001907377737087046,-0.0659340659340657,-0.0659340659340657,-0.11623931623931583,-0.11623931623931583,-0.0219780219780219,0.0219780219780219,-0.012210012210012167,0.04399999976158142
361426.037871952,-1,0.02,-0.00021457999542229267,-0.0009298466468299349,0.0017881666285191056,0.002217326619363691,0.0013590066376745202,-0.005364499885557317,7.152666514076422e-05,-0.0005722133211261138,-0.0024795910582131597,0.004768444342717615,0.005912870984969842,0.004386968795300206,-0.015068284122987663,0.0001907377737087046,-0.03956043956043942,-0.0659340659340657,-0.14358974358974308,-0.12991452991452945,0.026862026862026767,0.03174603174603163,-0.017094017094017033,0.04399999976158142
361426.057860838,-1,0.02,-0.00014305333028152845,-0.0006198977645532899,0.0011921110856794037,0.0014782177462424606,0.0009060044251163468,-0.003576333257038211,4.768444342717615e-05,-0.0005722133211261138,-0.0024795910582131597,0.004768444342717615,0.005912870984969842,0.003242542153047978,-0.015068284122987663,0.0001907377737087046,-0.0659340659340657,-0.01318681318681314,-0.1982905982905976,-0.2119658119658112,0.026862026862026767,0.0512820512820511,-0.017094017094017033,0.04399999976158142
361426.077829708,-1,0.02,-7.152666514076422e-05,-0.00030994888227664497,0.0005960555428397019,0.0007391088731212303,0.0004530022125581734,-0.0017881666285191056,2.3842221713588074e-05,-0.0005722133211261138,-0.0024795910582131597,0.004768444342717615,0.006294346532387252,-0.0005722133211261138,-0.015068284122987663,0.0001907377737087046,-0.0659340659340657,0.01318681318681314,-0.22564102564102484,-0.23931623931623847,-0.0073260073260073,0.06105006105006083,-0.012210012210012167,0.04399999976158142
361426.099031282,-1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005722133211261138,-0.0024795910582131597,0.004768444342717615,0.006294346532387252,-0.0001907377737087046,-0.014686808575570254,0.0001907377737087046,-0.03956043956043942,0.01318681318681314,-0.23931623931623847,-0.294017094017093,0.0024420024420024333,0.0805860805860803,-0.017094017094017033,0.04399999976158142
361426.117864498,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005722133211261138,-0.0024795910582131597,0.004768444342717615,0.006294346532387252,-0.0005722133211261138,-0.014686808575570254,0.0001907377737087046,-0.03956043956043942,0.03956043956043942,-0.294017094017093,-0.3213675213675202,0.0024420024420024333,0.10012210012209977,-0.017094017094017033,0.04399999976158142
