t_send,step_idx,publish_dt,cmd_l_aj_1,cmd_l_aj_2,cmd_l_aj_3,cmd_l_aj_4,cmd_l_aj_5,cmd_l_aj_6,cmd_l_aj_7,meas_l_aj_1,meas_l_aj_2,meas_l_aj_3,meas_l_aj_4,meas_l_aj_5,meas_l_aj_6,meas_l_aj_7,eff_l_aj_1,eff_l_aj_2,eff_l_aj_3,eff_l_aj_4,eff_l_aj_5,eff_l_aj_6,eff_l_aj_7,cmd_gripper
573860.821057497,-1,0.08,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.403418803418802,-0.5264957264957282,0.0952380952380949,0.18803418803418737,0.04151404151404137,0.0
573860.901022364,-1,0.08,0.0014305333028152845,-0.005436026550698081,0.0027656977187762166,0.003910124361028444,-0.005245288776989376,-0.0075341420614938315,-0.003147173266193626,0.002861066605630569,-0.011253528648813571,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.01583123521782248,-0.006294346532387252,0.03956043956043942,-0.17142857142857082,-0.03418803418803407,-0.07521367521367495,-0.0024420024420024333,0.056166056166055967,-0.017094017094017033,0.0
573860.980978591,-1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.011253528648813571,0.005531395437552433,0.008201724269474298,-0.010872053101396162,-0.01583123521782248,-0.006294346532387252,-0.0659340659340657,0.14505494505494454,-0.23931623931623847,-0.294017094017093,0.04151404151404137,0.11477411477411437,0.012210012210012167,0.0
573861.061029132,0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015449759670405072,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.43076923076922924,-0.5128205128205146,0.09035409035409003,0.1831501831501825,0.04151404151404137,0.0
573861.141064224,1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015449759670405072,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.403418803418802,-0.5264957264957282,0.09035409035409003,0.1831501831501825,0.04151404151404137,0.0
573861.221027442,2,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015449759670405072,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.4170940170940156,-0.5401709401709418,0.09035409035409003,0.18803418803418737,0.04151404151404137,0.0
573861.301023663,3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015449759670405072,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.4170940170940156,-0.5264957264957282,0.09035409035409003,0.1831501831501825,0.04151404151404137,0.0
573861.381025687,4,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.4444444444444464,-0.5264957264957282,0.0952380952380949,0.18803418803418737,0.04151404151404137,0.0
573861.461142391,5,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.4170940170940156,-0.5264957264957282,0.09035409035409003,0.19291819291819223,0.0366300366300365,0.0
573861.540973256,6,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.43076923076922924,-0.5264957264957282,0.0952380952380949,0.18803418803418737,0.04151404151404137,0.0
573861.620971987,7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.4444444444444464,-0.5264957264957282,0.09035409035409003,0.18803418803418737,0.04151404151404137,0.0
573861.701068029,8,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.4170940170940156,-0.5401709401709418,0.09035409035409003,0.18803418803418737,0.0366300366300365,0.0
573861.781274845,9,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.4170940170940156,-0.5401709401709418,0.09035409035409003,0.18803418803418737,0.0366300366300365,0.0
573861.861219979,10,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.43076923076922924,-0.5401709401709418,0.09035409035409003,0.1831501831501825,0.04151404151404137,0.0
573861.941044936,11,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.4170940170940156,-0.5401709401709418,0.09035409035409003,0.18803418803418737,0.04151404151404137,0.0
573862.021245108,12,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.43076923076922924,-0.5264957264957282,0.09035409035409003,0.18803418803418737,0.04151404151404137,0.0
573862.101050475,13,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.43076923076922924,-0.5401709401709418,0.09035409035409003,0.1831501831501825,0.04151404151404137,0.0
573862.181097803,14,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.4170940170940156,-0.5401709401709418,0.09035409035409003,0.18803418803418737,0.04151404151404137,0.0
573862.26101583,15,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.4170940170940156,-0.5264957264957282,0.09035409035409003,0.18803418803418737,0.04151404151404137,0.0
573862.34105304,16,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.4170940170940156,-0.5264957264957282,0.09035409035409003,0.1831501831501825,0.0366300366300365,0.0
573862.421028662,17,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.43076923076922924,-0.5401709401709418,0.09035409035409003,0.18803418803418737,0.0366300366300365,0.0
573862.501022337,18,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.43076923076922924,-0.5401709401709418,0.09035409035409003,0.18803418803418737,0.0366300366300365,0.0
573862.581040694,19,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.43076923076922924,-0.5264957264957282,0.09035409035409003,0.18803418803418737,0.04151404151404137,0.0
573862.661023345,20,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.403418803418802,-0.5264957264957282,0.09035409035409003,0.1831501831501825,0.04151404151404137,0.0
573862.741030804,21,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.43076923076922924,-0.5401709401709418,0.09035409035409003,0.18803418803418737,0.0366300366300365,0.0
573862.821185843,22,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.4444444444444464,-0.5264957264957282,0.09035409035409003,0.1831501831501825,0.04151404151404137,0.0
573862.90097811,23,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.4170940170940156,-0.5264957264957282,0.0952380952380949,0.18803418803418737,0.04151404151404137,0.0
573862.981020159,24,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.4170940170940156,-0.5401709401709418,0.09035409035409003,0.18803418803418737,0.04151404151404137,0.0
573863.061093137,25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.4170940170940156,-0.5401709401709418,0.0952380952380949,0.18803418803418737,0.04151404151404137,0.0
573863.140998434,26,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.43076923076922924,-0.5401709401709418,0.09035409035409003,0.1831501831501825,0.04151404151404137,0.0
573863.221009357,27,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.43076923076922924,-0.5264957264957282,0.09035409035409003,0.18803418803418737,0.04151404151404137,0.0
573863.30101499,28,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.43076923076922924,-0.5264957264957282,0.09035409035409003,0.18803418803418737,0.04151404151404137,0.0
573863.381092411,29,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861066605630569,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.4444444444444464,-0.5264957264957282,0.0952380952380949,0.1831501831501825,0.0366300366300365,0.0
