# t,q1,q2,q3,q4,q5,q6,q7,palm0,palm1,palm2,palm3,palm4,palm5,a0,a1,a2,a3,a4,a5,a6
1.788365032713403702e+09,-1.669237576425075531e-02,-2.328790128231048584e-01,6.784649193286895752e-02,7.114295363426208496e-01,-4.053594768047332764e-01,8.014562539756298065e-03,-1.001554250717163086e+00,2.200000000000000011e-01,1.253933668136597013e-01,4.221574670076370106e-01,4.565392601291241581e-01,-2.530727415391777591e+00,3.010633163347000707e+00,-1.000000000000000000e+00,-8.461008071899414062e-01,1.916248500347137451e-01,1.331605464220046997e-01,-1.000000000000000000e+00,-8.017452061176300049e-02,9.321186542510986328e-01
1.788365032823195696e+09,-1.714866422116756439e-02,-2.172572910785675049e-01,8.223986625671386719e-02,7.325004935264587402e-01,-3.930105865001678467e-01,8.583274669945240021e-03,-1.027094483375549316e+00,2.200000000000000011e-01,1.253678554296493719e-01,4.223929899930953802e-01,4.567037467368421089e-01,-2.530727415391777591e+00,3.011104792531296592e+00,-1.000000000000000000e+00,-8.462554216384887695e-01,1.926954090595245361e-01,1.333176195621490479e-01,-1.000000000000000000e+00,-7.972414791584014893e-02,9.321075677871704102e-01
1.788365032929517984e+09,-1.745669916272163391e-02,-2.014246433973312378e-01,9.766454249620437622e-02,7.536707520484924316e-01,-3.796006441116333008e-01,9.676008485257625580e-03,-1.053024053573608398e+00,2.200000000000000011e-01,1.253581583499908669e-01,4.223595780134201116e-01,4.568304549480810550e-01,-2.530727415391777591e+00,3.010840889912026697e+00,-1.000000000000000000e+00,-8.463141918182373047e-01,1.925435364246368408e-01,1.334386169910430908e-01,-1.000000000000000000e+00,-7.997615635395050049e-02,9.329530000686645508e-01
1.788365033018309355e+09,-1.745957136154174805e-02,-1.856413781642913818e-01,1.139207482337951660e-01,7.747306227684020996e-01,-3.652049005031585693e-01,1.148983091115951538e-02,-1.079207897186279297e+00,2.200000000000000011e-01,1.253429439663887313e-01,4.223766642808914340e-01,4.565521494126812407e-01,-2.530727415391777591e+00,3.010979730590536363e+00,-1.000000000000000000e+00,-8.464064002037048340e-01,1.926212012767791748e-01,1.331728547811508179e-01,-1.000000000000000000e+00,-7.984357327222824097e-02,9.319595098495483398e-01
1.788365033120744467e+09,-1.697086915373802185e-02,-1.701739728450775146e-01,1.307582110166549683e-01,7.954828739166259766e-01,-3.499265015125274658e-01,1.423608977347612381e-02,-1.105551838874816895e+00,2.200000000000000011e-01,1.253501823544502514e-01,4.223792344331741555e-01,4.566101199797689691e-01,-2.530727415391777591e+00,3.010954599608492099e+00,-1.000000000000000000e+00,-8.463625311851501465e-01,1.926328837871551514e-01,1.332282125949859619e-01,-1.000000000000000000e+00,-7.986757159233093262e-02,9.321436882019042969e-01
1.788365033218502045e+09,-1.578624360263347626e-02,-1.552871614694595337e-01,1.478828787803649902e-01,8.157426118850708008e-01,-3.338945806026458740e-01,1.813388243317604065e-02,-1.131986021995544434e+00,2.200000000000000011e-01,1.253419113159179865e-01,4.224824470281600686e-01,4.566655158110372592e-01,-2.530727415391777591e+00,3.011222231693585272e+00,-1.000000000000000000e+00,-8.464126586914062500e-01,1.931020319461822510e-01,1.332811117172241211e-01,-1.000000000000000000e+00,-7.961200177669525146e-02,9.320970773696899414e-01
1.788365033316038847e+09,-1.367536932229995728e-02,-1.412410587072372437e-01,1.649499684572219849e-01,8.353403210639953613e-01,-3.172725439071655273e-01,2.340542152523994446e-02,-1.158459663391113281e+00,2.200000000000000011e-01,1.253696355223656023e-01,4.224157673120498835e-01,4.564622989348101068e-01,-2.530727415391777591e+00,3.011345311867987817e+00,-1.000000000000000000e+00,-8.462446331977844238e-01,1.927989423274993896e-01,1.330870538949966431e-01,-1.000000000000000000e+00,-7.949446886777877808e-02,9.314392805099487305e-01
1.788365033415888786e+09,-1.040189526975154877e-02,-1.282833218574523926e-01,1.815729290246963501e-01,8.541132211685180664e-01,-3.002590835094451904e-01,3.026250563561916351e-02,-1.184920787811279297e+00,2.200000000000000011e-01,1.253758117556572349e-01,4.224034541845321789e-01,4.566776248716187259e-01,-2.530727415391777591e+00,3.011192567616052695e+00,-1.000000000000000000e+00,-8.462072014808654785e-01,1.927429735660552979e-01,1.332926750183105469e-01,-1.000000000000000000e+00,-7.964032888412475586e-02,9.321753978729248047e-01
1.788365033518305779e+09,-5.731742363423109055e-03,-1.166439354419708252e-01,1.973270177841186523e-01,8.719093799591064453e-01,-2.830928266048431396e-01,3.889106586575508118e-02,-1.211310625076293945e+00,2.200000000000000011e-01,1.253250938653946156e-01,4.223415869474411166e-01,4.558045709663716138e-01,-2.530727415391777591e+00,3.011068676009756029e+00,-1.000000000000000000e+00,-8.465145826339721680e-01,1.924617588520050049e-01,1.324589699506759644e-01,-1.000000000000000000e+00,-7.975863665342330933e-02,9.296157360076904297e-01
1.788365033619241238e+09,5.389832658693194389e-04,-1.065081655979156494e-01,2.117661237716674805e-01,8.885883092880249023e-01,-2.660546004772186279e-01,4.944063723087310791e-02,-1.237541317939758301e+00,2.200000000000000011e-01,1.253215336799621826e-01,4.226052635908126853e-01,4.565218299478490671e-01,-2.530727415391777591e+00,3.011384931590689096e+00,-1.000000000000000000e+00,-8.465361595153808594e-01,1.936602890491485596e-01,1.331439018249511719e-01,-1.000000000000000000e+00,-7.945663481950759888e-02,9.314047098159790039e-01
