t_send,step_idx,publish_dt,cmd_r_aj_1,cmd_r_aj_2,cmd_r_aj_3,cmd_r_aj_4,cmd_r_aj_5,cmd_r_aj_6,cmd_r_aj_7,meas_r_aj_1,meas_r_aj_2,meas_r_aj_3,meas_r_aj_4,meas_r_aj_5,meas_r_aj_6,meas_r_aj_7,eff_r_aj_1,eff_r_aj_2,eff_r_aj_3,eff_r_aj_4,eff_r_aj_5,eff_r_aj_6,eff_r_aj_7,cmd_gripper
366348.642900261,-1,0.04,-0.1245517662317841,0.2790493629358348,-0.04406042572671076,1.871328297856106,-0.018120088502326936,0.09288929579613914,-0.28210116731517587,-0.1245517662317841,0.2790493629358348,-0.04406042572671076,1.871328297856106,-0.018120088502326936,0.09288929579613914,-0.28210116731517587,8.637362637362642,1.3846153846153797,3.0290598290598325,7.67863247863248,0.16361416361416303,-0.9304029304029307,2.7814407814407804,0.0
366348.682858057,-1,0.04,-0.12279751600316742,0.27934444249900514,-0.043439856350278215,1.8731405753510906,-0.017864875988209655,0.09158099585534844,-0.2781279114374973,-0.1245517662317841,0.2790493629358348,-0.04406042572671076,1.871328297856106,-0.018120088502326936,0.09288929579613914,-0.28210116731517587,8.637362637362642,1.3846153846153797,3.0290598290598325,7.664957264957266,0.1684981684981679,-0.9255189255189258,2.7765567765567756,0.0
366348.722876978,-1,0.04,-0.12104326577455074,0.2796395220621755,-0.04281928697384567,1.874952852846075,-0.017609663474092374,0.09027269591455775,-0.2741546555598188,-0.1245517662317841,0.2790493629358348,-0.04406042572671076,1.871328297856106,-0.018120088502326936,0.09288929579613914,-0.28210116731517587,8.637362637362642,1.3846153846153797,3.042735042735046,7.664957264957266,0.1684981684981679,-0.9304029304029307,2.7765567765567756,0.0
366348.762880842,-1,0.04,-0.11928901554593407,0.27993460162534584,-0.04219871759741312,1.8767651303410593,-0.017354450959975093,0.08896439597376707,-0.2701813996821403,-0.1245517662317841,0.2790493629358348,-0.04406042572671076,1.871328297856106,-0.018120088502326936,0.09288929579613914,-0.28210116731517587,8.637362637362642,1.3846153846153797,3.015384615384619,7.67863247863248,0.1684981684981679,-0.9255189255189258,2.7765567765567756,0.0
366348.802896672,-1,0.04,-0.1175347653173174,0.28022968118851616,-0.041578148220980576,1.8785774078360438,-0.01709923844585781,0.08765609603297637,-0.2662081438044617,-0.1245517662317841,0.2790493629358348,-0.04406042572671076,1.871328297856106,-0.018120088502326936,0.09288929579613914,-0.28210116731517587,8.637362637362642,1.3846153846153797,3.0290598290598325,7.67863247863248,0.16361416361416303,-0.9304029304029307,2.7765567765567756,0.0
366348.842858871,-1,0.04,-0.11578051508870071,0.28052476075168653,-0.04095757884454803,1.8803896853310282,-0.016844025931740534,0.08634779609218568,-0.2622348879267832,-0.1245517662317841,0.2790493629358348,-0.04406042572671076,1.871328297856106,-0.018120088502326936,0.09288929579613914,-0.28210116731517587,8.637362637362642,1.3846153846153797,3.0290598290598325,7.664957264957266,0.1684981684981679,-0.9304029304029307,2.7765567765567756,0.0
366348.882858987,-1,0.04,-0.11402626486008403,0.28081984031485685,-0.040337009468115484,1.8822019628260127,-0.016588813417623253,0.08503949615139499,-0.2582616320491047,-0.1245517662317841,0.2790493629358348,-0.04406042572671076,1.871328297856106,-0.018120088502326936,0.09288929579613914,-0.28210116731517587,8.637362637362642,1.3846153846153797,3.0290598290598325,7.67863247863248,0.1684981684981679,-0.9304029304029307,2.7765567765567756,0.0
366348.923076629,-1,0.04,-0.11227201463146735,0.2811149198780272,-0.03971644009168294,1.884014240320997,-0.01633360090350597,0.08373119621060429,-0.25428837617142613,-0.1245517662317841,0.2790493629358348,-0.04406042572671076,1.871328297856106,-0.018120088502326936,0.09288929579613914,-0.28210116731517587,8.637362637362642,1.3846153846153797,3.042735042735046,7.67863247863248,0.1684981684981679,-0.9352869352869355,2.7765567765567756,0.0
366348.962879508,-1,0.04,-0.11051776440285069,0.28140999944119754,-0.03909587071525039,1.8858265178159814,-0.01607838838938869,0.0824228962698136,-0.2503151202937476,-0.1245517662317841,0.2790493629358348,-0.04406042572671076,1.871328297856106,-0.018120088502326936,0.09288929579613914,-0.28210116731517587,8.637362637362642,1.3846153846153797,3.042735042735046,7.67863247863248,0.16361416361416303,-0.9304029304029307,2.7765567765567756,0.0
366349.002848319,-1,0.04,-0.10876351417423401,0.28170507900436786,-0.038475301338817845,1.887638795310966,-0.01582317587527141,0.0811145963290229,-0.24634186441606906,-0.1245517662317841,0.2790493629358348,-0.04406042572671076,1.871328297856106,-0.018120088502326936,0.09288929579613914,-0.28210116731517587,8.637362637362642,1.3846153846153797,3.042735042735046,7.67863247863248,0.1684981684981679,-0.9255189255189258,2.7765567765567756,0.0
