t_send,step_idx,publish_dt,cmd_r_aj_1,cmd_r_aj_2,cmd_r_aj_3,cmd_r_aj_4,cmd_r_aj_5,cmd_r_aj_6,cmd_r_aj_7,meas_r_aj_1,meas_r_aj_2,meas_r_aj_3,meas_r_aj_4,meas_r_aj_5,meas_r_aj_6,meas_r_aj_7,eff_r_aj_1,eff_r_aj_2,eff_r_aj_3,eff_r_aj_4,eff_r_aj_5,eff_r_aj_6,eff_r_aj_7,cmd_gripper
598966.761368282,-1,0.02,0.005912870984969842,0.0020981155107957505,0.0013351644159609322,0.005149919890135024,0.0040054932478827965,-0.015449759670405072,0.014686808575570254,0.005912870984969842,0.0020981155107957505,0.0013351644159609322,0.005149919890135024,0.0040054932478827965,-0.015449759670405072,0.014686808575570254,-0.40879120879120734,-0.14505494505494454,-0.14358974358974308,-0.2529914529914521,-0.056166056166055967,0.14407814407814357,-0.1098901098901095,0.0
598966.781361192,-1,0.02,0.005173762111848612,0.002460851057976443,0.0011682688639658156,0.004506179903868146,0.003504806591897447,-0.013518539711604438,0.012850957503623972,0.005912870984969842,0.0020981155107957505,0.0013351644159609322,0.005149919890135024,0.0040054932478827965,-0.015449759670405072,0.014686808575570254,-0.40879120879120734,-0.17142857142857082,-0.1572649572649567,-0.23931623931623847,-0.056166056166055967,0.14407814407814357,-0.10500610500610463,0.0
598966.801351253,-1,0.02,0.004434653238727382,0.0028235866051571357,0.0010013733119706991,0.003862439917601268,0.0030041199359120974,-0.011587319752803804,0.01101510643167769,0.005912870984969842,0.0020981155107957505,0.0013351644159609322,0.005149919890135024,0.0040054932478827965,-0.015449759670405072,0.014686808575570254,-0.27692307692307594,-0.11868131868131826,-0.1025641025641022,-0.1025641025641022,-0.0366300366300365,0.07570207570207543,-0.04639804639804623,0.0
598966.82135905,-1,0.02,0.0036955443656061515,0.0031863221523378282,0.0008344777599755826,0.00321869993133439,0.002503433279926748,-0.00965609979400317,0.009179255359731409,0.005912870984969842,0.0020981155107957505,0.0013351644159609322,0.005149919890135024,0.0040054932478827965,-0.01583123521782248,0.015449759670405072,-0.09230769230769198,-0.01318681318681314,-0.06153846153846132,0.03418803418803407,-0.017094017094017033,0.026862026862026767,0.0024420024420024333,0.0
598966.84135835,-1,0.02,0.002956435492484921,0.003549057699518521,0.0006675822079804661,0.002574959945067512,0.0020027466239413982,-0.007724879835202536,0.007343404287785127,0.005912870984969842,0.0020981155107957505,0.0013351644159609322,0.005149919890135024,0.0040054932478827965,-0.01583123521782248,0.01583123521782248,-0.0659340659340657,-0.01318681318681314,-0.06153846153846132,0.006837606837606813,-0.0219780219780219,0.0366300366300365,-0.0073260073260073,0.0
598966.861359747,-1,0.02,0.002217326619363691,0.003911793246699213,0.0005006866559853496,0.001931219958800634,0.0015020599679560487,-0.005793659876401902,0.005507553215838845,0.005912870984969842,0.0020981155107957505,0.0013351644159609322,0.005149919890135024,0.0040054932478827965,-0.01583123521782248,0.01583123521782248,-0.09230769230769198,0.03956043956043942,-0.07521367521367495,-0.04786324786324769,-0.026862026862026767,0.04639804639804623,-0.017094017094017033,0.0
598966.881359883,-1,0.02,0.0014782177462424606,0.004274528793879906,0.00033379110399023304,0.001287479972533756,0.0010013733119706991,-0.003862439917601268,0.0036717021438925634,0.005912870984969842,0.0020981155107957505,0.0013351644159609322,0.005149919890135024,0.0040054932478827965,-0.01583123521782248,0.01583123521782248,-0.14505494505494454,0.0659340659340657,-0.1025641025641022,-0.07521367521367495,-0.026862026862026767,0.06105006105006083,-0.03174603174603163,0.0
598966.901359778,-1,0.02,0.0007391088731212303,0.0046372643410605985,0.00016689555199511652,0.000643739986266878,0.0005006866559853496,-0.001931219958800634,0.0018358510719462817,0.005912870984969842,0.0020981155107957505,0.0013351644159609322,0.005149919890135024,0.0040054932478827965,-0.01583123521782248,0.01583123521782248,-0.1978021978021971,0.0659340659340657,-0.11623931623931583,-0.11623931623931583,-0.0366300366300365,0.0805860805860803,-0.0512820512820511,0.0
598966.921362096,-1,0.02,0.0,0.004999999888241291,0.0,0.0,0.0,0.0,0.0,0.005912870984969842,0.0020981155107957505,0.0013351644159609322,0.005149919890135024,0.0040054932478827965,-0.01583123521782248,0.01583123521782248,-0.25054945054944966,0.09230769230769198,-0.12991452991452945,-0.17094017094017033,-0.0366300366300365,0.0952380952380949,-0.07081807081807057,0.0
598966.941372976,0,0.02,0.0,0.004999999888241291,0.0,0.0,0.0,0.0,0.0,0.005912870984969842,0.0020981155107957505,0.0013351644159609322,0.005149919890135024,0.0040054932478827965,-0.01583123521782248,0.01583123521782248,-0.3032967032967022,0.14505494505494454,-0.14358974358974308,-0.18461538461538396,-0.04151404151404137,0.11477411477411437,-0.08547008547008517,0.0
