t_send,step_idx,publish_dt,cmd_l_aj_1,cmd_l_aj_2,cmd_l_aj_3,cmd_l_aj_4,cmd_l_aj_5,cmd_l_aj_6,cmd_l_aj_7,meas_l_aj_1,meas_l_aj_2,meas_l_aj_3,meas_l_aj_4,meas_l_aj_5,meas_l_aj_6,meas_l_aj_7,eff_l_aj_1,eff_l_aj_2,eff_l_aj_3,eff_l_aj_4,eff_l_aj_5,eff_l_aj_6,eff_l_aj_7,cmd_gripper
575929.825420011,-1,0.08,0.0024795910582131597,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,0.0024795910582131597,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010490577553978753,-0.015068284122987663,-0.006294346532387252,-0.1978021978021971,0.4879120879120862,-0.403418803418802,-0.4991452991453009,0.09035409035409003,0.18803418803418737,0.0366300366300365,0.0
575929.905420483,-1,0.08,0.0012397955291065799,-0.005436026550698081,0.0027656977187762166,0.003910124361028444,-0.005245288776989376,-0.0075341420614938315,-0.003147173266193626,0.0024795910582131597,-0.011253528648813571,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.01583123521782248,-0.006294346532387252,-0.01318681318681314,-0.1978021978021971,-0.03418803418803407,-0.04786324786324769,-0.0024420024420024333,0.0512820512820511,-0.0219780219780219,0.0
575929.985419506,-1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024795910582131597,-0.011253528648813571,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.01583123521782248,-0.006294346532387252,-0.09230769230769198,0.11868131868131826,-0.23931623931623847,-0.28034188034187935,0.04151404151404137,0.11477411477411437,0.012210012210012167,0.0
575930.06541755,0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024795910582131597,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015449759670405072,-0.006294346532387252,-0.17142857142857082,0.4615384615384599,-0.4170940170940156,-0.4991452991453009,0.09035409035409003,0.1831501831501825,0.04151404151404137,0.0
575930.145449377,1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024795910582131597,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015449759670405072,-0.006294346532387252,-0.1978021978021971,0.5142857142857125,-0.403418803418802,-0.5128205128205146,0.09035409035409003,0.1831501831501825,0.04639804639804623,0.0
575930.225423457,2,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024795910582131597,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015449759670405072,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.43076923076922924,-0.5128205128205146,0.0952380952380949,0.18803418803418737,0.04151404151404137,0.0
575930.305424915,3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024795910582131597,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015449759670405072,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.4170940170940156,-0.5128205128205146,0.0952380952380949,0.18803418803418737,0.0366300366300365,0.0
575930.385420279,4,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024795910582131597,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015449759670405072,-0.006294346532387252,-0.17142857142857082,0.4879120879120862,-0.4444444444444464,-0.5128205128205146,0.0952380952380949,0.18803418803418737,0.0366300366300365,0.0
575930.465424672,5,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024795910582131597,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015449759670405072,-0.006294346532387252,-0.1978021978021971,0.4879120879120862,-0.43076923076922924,-0.5128205128205146,0.0952380952380949,0.18803418803418737,0.04151404151404137,0.0
575930.545560533,6,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024795910582131597,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015449759670405072,-0.006294346532387252,-0.1978021978021971,0.4879120879120862,-0.43076923076922924,-0.5128205128205146,0.09035409035409003,0.18803418803418737,0.04151404151404137,0.0
575930.625430696,7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024795910582131597,-0.010872053101396162,0.005531395437552433,0.007820248722056888,-0.010872053101396162,-0.015449759670405072,-0.006294346532387252,-0.17142857142857082,0.5142857142857125,-0.4170940170940156,-0.5128205128205146,0.09035409035409003,0.18803418803418737,0.04151404151404137,0.0
