t,phase,joint,cmd_r_aj_1,cmd_r_aj_2,cmd_r_aj_3,cmd_r_aj_4,cmd_r_aj_5,cmd_r_aj_6,cmd_r_aj_7,meas_r_aj_1,meas_r_aj_2,meas_r_aj_3,meas_r_aj_4,meas_r_aj_5,meas_r_aj_6,meas_r_aj_7,eff_r_aj_1,eff_r_aj_2,eff_r_aj_3,eff_r_aj_4,eff_r_aj_5,eff_r_aj_6,eff_r_aj_7
391802.991139428,approach,0,0.00019045138065508792,0.008778955196899781,-0.01085572869734001,0.00700248199675985,-0.013522048026511243,-0.010474825936029835,-0.0036185762324466705,0.0001907377737087046,0.007438773174639479,-0.010872053101396162,0.0040054932478827965,-0.013542381933318026,-0.010490577553978753,-0.0036240177004653873,-0.09230769230769198,-0.27692307692307594,0.7179487179487154,-0.294017094017093,0.11477411477411437,0.09035409035409003,0.026862026862026767
391802.992360407,approach,0,0.00019016498760147124,0.010119137219160081,-0.010839404293283861,0.009999470745636903,-0.013501714119704458,-0.010459074318080918,-0.0036131347644279537,0.0001907377737087046,0.007438773174639479,-0.010872053101396162,0.0040054932478827965,-0.013542381933318026,-0.010490577553978753,-0.0036240177004653873,-0.09230769230769198,-0.25054945054944966,0.7179487179487154,-0.28034188034187935,0.11477411477411437,0.09035409035409003,0.026862026862026767
391802.993370914,approach,0,0.00018987859454785457,0.011459319241420383,-0.01082307988922771,0.012996459494513954,-0.013481380212897675,-0.010443322700132002,-0.003607693296409237,0.0001907377737087046,0.007438773174639479,-0.010872053101396162,0.0040054932478827965,-0.013542381933318026,-0.010490577553978753,-0.0036240177004653873,-0.09230769230769198,-0.25054945054944966,0.7179487179487154,-0.28034188034187935,0.11477411477411437,0.09035409035409003,0.026862026862026767
391802.994695673,approach,0,0.0001895922014942379,0.012799501263680683,-0.01080675548517156,0.01599344824339101,-0.013461046306090891,-0.010427571082183085,-0.00360225182839052,0.0001907377737087046,0.007438773174639479,-0.010872053101396162,0.0040054932478827965,-0.013542381933318026,-0.010490577553978753,-0.0036240177004653873,-0.09230769230769198,-0.25054945054944966,0.7179487179487154,-0.28034188034187935,0.11477411477411437,0.09035409035409003,0.026862026862026767
391802.99607927,approach,0,0.00018930580844062121,0.014139683285940985,-0.01079043108111541,0.01899043699226806,-0.013440712399284106,-0.010411819464234168,-0.0035968103603718033,0.0001907377737087046,0.007438773174639479,-0.010872053101396162,0.0040054932478827965,-0.013542381933318026,-0.010490577553978753,-0.0036240177004653873,-0.09230769230769198,-0.27692307692307594,0.7179487179487154,-0.28034188034187935,0.11477411477411437,0.09035409035409003,0.026862026862026767
391802.997409252,approach,0,0.00018901941538700457,0.015479865308201286,-0.01077410667705926,0.021987425741145112,-0.013420378492477323,-0.01039606784628525,-0.0035913688923530866,0.0001907377737087046,0.007438773174639479,-0.010872053101396162,0.0040054932478827965,-0.013542381933318026,-0.010490577553978753,-0.0036240177004653873,-0.09230769230769198,-0.27692307692307594,0.7179487179487154,-0.294017094017093,0.11965811965811923,0.09035409035409003,0.026862026862026767
391802.998670218,approach,0,0.0001887330223333879,0.016820047330461586,-0.010757782273003108,0.02498441449002217,-0.01340004458567054,-0.010380316228336333,-0.0035859274243343698,0.0001907377737087046,0.007438773174639479,-0.010872053101396162,0.0040054932478827965,-0.013542381933318026,-0.010490577553978753,-0.0036240177004653873,-0.09230769230769198,-0.27692307692307594,0.731623931623929,-0.294017094017093,0.11965811965811923,0.09035409035409003,0.026862026862026767
391803.000116346,approach,0,0.0001884466292797712,0.018160229352721886,-0.010741457868946959,0.02798140323889922,-0.013379710678863756,-0.010364564610387416,-0.003580485956315653,0.0001907377737087046,0.007438773174639479,-0.010872053101396162,0.0040054932478827965,-0.013542381933318026,-0.010490577553978753,-0.0036240177004653873,-0.09230769230769198,-0.27692307692307594,0.731623931623929,-0.294017094017093,0.11477411477411437,0.09035409035409003,0.0219780219780219
391803.001420524,approach,0,0.00018816023622615454,0.01950041137498219,-0.010725133464890808,0.030978391987776275,-0.013359376772056971,-0.0103488129924385,-0.003575044488296936,0.0001907377737087046,0.007438773174639479,-0.010872053101396162,0.0040054932478827965,-0.013542381933318026,-0.010490577553978753,-0.0036240177004653873,-0.09230769230769198,-0.27692307692307594,0.731623931623929,-0.294017094017093,0.11965811965811923,0.09035409035409003,0.0219780219780219
391803.002712138,approach,0,0.00018787384317253786,0.02084059339724249,-0.010708809060834658,0.03397538073665332,-0.013339042865250188,-0.010333061374489583,-0.0035696030202782194,0.0001907377737087046,0.007438773174639479,-0.010872053101396162,0.0040054932478827965,-0.013542381933318026,-0.010490577553978753,-0.0036240177004653873,-0.09230769230769198,-0.27692307692307594,0.731623931623929,-0.294017094017093,0.11965811965811923,0.09035409035409003,0.026862026862026767
391803.004024063,approach,0,0.00018758745011892119,0.02218077541950279,-0.010692484656778507,0.03697236948553038,-0.013318708958443405,-0.010317309756540665,-0.0035641615522595026,0.0001907377737087046,0.007438773174639479,-0.010872053101396162,0.0040054932478827965,-0.013542381933318026,-0.010490577553978753,-0.0036240177004653873,-0.09230769230769198,-0.27692307692307594,0.731623931623929,-0.294017094017093,0.11965811965811923,0.09035409035409003,0.026862026862026767
