t_recv,t_send,step_idx,arm_target_0,arm_target_1,arm_target_2,arm_target_3,arm_target_4,arm_target_5,arm_target_6,grip_cmd
1788152639.323222,1788152639.323009,0,-0.007300,-0.373466,0.003300,0.930830,-0.464755,-0.003715,-0.328168,0.044000
1788152639.547614,1788152639.546965,1,0.011700,-0.366467,0.017310,0.922856,-0.462070,-0.015958,-0.320773,0.044000
1788152639.681276,1788152639.680957,2,0.043223,-0.353367,0.044149,0.909785,-0.455936,-0.037782,-0.307629,0.044000
1788152639.809338,1788152639.808959,3,0.082120,-0.334296,0.084306,0.892779,-0.445040,-0.068066,-0.288632,0.044000
1788152639.980263,1788152639.979899,4,0.120725,-0.311179,0.135439,0.874048,-0.428871,-0.104406,-0.264590,0.044000
1788152640.152326,1788152640.151831,5,0.152342,-0.286851,0.194974,0.856046,-0.407073,-0.145578,-0.236434,0.044000
1788152640.325754,1788152640.325571,6,0.172597,-0.264532,0.259376,0.841066,-0.380111,-0.190558,-0.205808,0.044000
1788152640.452996,1788152640.452693,7,0.180073,-0.246629,0.324844,0.830386,-0.349519,-0.233881,-0.174735,0.044000
1788152640.684312,1788152640.683470,8,0.174433,-0.234761,0.388206,0.823693,-0.318861,-0.276596,-0.144268,0.044000
1788152640.860061,1788152640.859718,9,0.155867,-0.229010,0.448012,0.820663,-0.287612,-0.318695,-0.119314,0.044000
1788152641.109215,1788152641.108987,10,0.124007,-0.229884,0.502042,0.821176,-0.256667,-0.358914,-0.096707,0.044000
1788152641.245212,1788152641.244804,11,0.078652,-0.238423,0.547323,0.824288,-0.227392,-0.395727,-0.076526,0.044000
1788152641.372391,1788152641.371956,12,0.019737,-0.256527,0.569812,0.827819,-0.203790,-0.426708,-0.058908,0.044000
1788152641.507985,1788152641.507537,13,-0.050141,-0.285705,0.576027,0.827573,-0.186590,-0.449247,-0.043297,0.044000
1788152641.682435,1788152641.681404,14,-0.124735,-0.324991,0.566409,0.818193,-0.176674,-0.461503,-0.027977,0.044000
1788152641.809527,1788152641.809162,15,-0.196935,-0.369332,0.543389,0.795192,-0.174388,-0.462417,-0.010706,0.044000
1788152641.937935,1788152641.937557,16,-0.262027,-0.407823,0.514634,0.760260,-0.177989,-0.455349,0.009488,0.044000
1788152642.068130,1788152642.067740,17,-0.320548,-0.434845,0.486218,0.720337,-0.184877,-0.446094,0.031114,0.044000
1788152642.196892,1788152642.196583,18,-0.373375,-0.449780,0.459923,0.679602,-0.194016,-0.437021,0.052651,0.044000
1788152642.418103,1788152642.417596,19,-0.420129,-0.452121,0.436635,0.639983,-0.205120,-0.428900,0.073245,0.044000
1788152642.622108,1788152642.621671,20,-0.460095,-0.441448,0.417056,0.602996,-0.218148,-0.422497,0.092180,0.044000
1788152642.763641,1788152642.763322,21,-0.492647,-0.417389,0.401027,0.569592,-0.233179,-0.418137,0.108835,0.044000
1788152642.903856,1788152642.903253,22,-0.517569,-0.379748,0.387816,0.540707,-0.250375,-0.415300,0.122393,0.044000
1788152643.041802,1788152643.041356,23,-0.535109,-0.328470,0.376660,0.518422,-0.270045,-0.411783,0.131006,0.044000
1788152643.176855,1788152643.176575,24,-0.547183,-0.272657,0.364228,0.504703,-0.290503,-0.397676,0.132433,0.044000
1788152643.309587,1788152643.309344,25,-0.558979,-0.227131,0.348743,0.493688,-0.308279,-0.371322,0.131895,0.044000
1788152643.484385,1788152643.484065,26,-0.574068,-0.193564,0.330148,0.483526,-0.323266,-0.335006,0.132926,0.044000
1788152643.659252,1788152643.658978,27,-0.595254,-0.170452,0.307721,0.477753,-0.336332,-0.287514,0.134672,0.044000
1788152643.832097,1788152643.831643,28,-0.618828,-0.151503,0.282925,0.479237,-0.347928,-0.231211,0.134409,0.000000
1788152644.012099,1788152644.011834,29,-0.639028,-0.135708,0.259470,0.486433,-0.352636,-0.170453,0.131733,0.000000
1788152644.145199,1788152644.144392,30,-0.654671,-0.123540,0.243777,0.494317,-0.350650,-0.113433,0.129244,0.000000
1788152644.277359,1788152644.276363,31,-0.669990,-0.116876,0.236003,0.500786,-0.343242,-0.067684,0.127127,0.000000
1788152644.455956,1788152644.455626,32,-0.687609,-0.117785,0.232527,0.505605,-0.334029,-0.037649,0.124293,0.000000
1788152644.632704,1788152644.632513,33,-0.704822,-0.125588,0.231753,0.510421,-0.325374,-0.026533,0.119843,0.000000
1788152644.767967,1788152644.767747,34,-0.717682,-0.138994,0.232928,0.518441,-0.318700,-0.033947,0.112515,0.000000
1788152644.991598,1788152644.991199,35,-0.724201,-0.156723,0.234670,0.532594,-0.314723,-0.056857,0.101075,0.000000
1788152645.135389,1788152645.134568,36,-0.723090,-0.176885,0.234705,0.553964,-0.314395,-0.088229,0.084839,0.000000
1788152645.308365,1788152645.308083,37,-0.714569,-0.197685,0.232047,0.582773,-0.317484,-0.120608,0.063693,0.000000
1788152645.482998,1788152645.482600,38,-0.699638,-0.218270,0.227248,0.618918,-0.322856,-0.151407,0.037899,0.000000
1788152645.614952,1788152645.614628,39,-0.678270,-0.238403,0.220290,0.661784,-0.329782,-0.178837,0.006821,0.000000
1788152645.748699,1788152645.748189,40,-0.651005,-0.257891,0.210269,0.710217,-0.337899,-0.199667,-0.029360,0.000000
1788152645.924443,1788152645.923985,41,-0.618944,-0.276265,0.196464,0.762915,-0.346938,-0.211464,-0.070034,0.000000
