t_send,step_idx,publish_dt,cmd_r_aj_1,cmd_r_aj_2,cmd_r_aj_3,cmd_r_aj_4,cmd_r_aj_5,cmd_r_aj_6,cmd_r_aj_7,meas_r_aj_1,meas_r_aj_2,meas_r_aj_3,meas_r_aj_4,meas_r_aj_5,meas_r_aj_6,meas_r_aj_7,eff_r_aj_1,eff_r_aj_2,eff_r_aj_3,eff_r_aj_4,eff_r_aj_5,eff_r_aj_6,eff_r_aj_7,cmd_gripper
594110.288679792,-1,0.02,0.018883039597161755,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.013923857480735435,-0.017357137407492118,0.013923857480735435,0.018883039597161755,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.013923857480735435,-0.017357137407492118,0.013923857480735435,-1.410989010989013,-0.0659340659340657,-0.5401709401709418,-0.6358974358974372,0.1245421245421241,0.15873015873015817,-0.14896214896214843,0.0
594110.308753645,-1,0.02,0.01699473563744558,0.000328335992486295,0.006351567864499863,0.008754863813229541,-0.012531471732661892,-0.015621423666742906,0.012531471732661892,0.018883039597161755,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.013923857480735435,-0.017357137407492118,0.013923857480735435,-1.3846153846153868,-0.0659340659340657,-0.5401709401709418,-0.6222222222222236,0.1245421245421241,0.1538461538461533,-0.1538461538461533,0.0
594110.328686873,-1,0.02,0.015106431677729404,0.0008474097586812946,0.005645838101777656,0.0077821011673151474,-0.011139085984588348,-0.013885709925993694,0.011139085984588348,0.018883039597161755,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014305333028152845,-0.017357137407492118,0.013923857480735435,-0.93626373626374,-0.0659340659340657,-0.3076923076923066,-0.38974358974358836,0.07570207570207543,0.10012210012209977,-0.09035409035409003,0.0
594110.348804419,-1,0.02,0.013218127718013228,0.0013664835248762943,0.004940108339055449,0.006809338521400754,-0.009746700236514805,-0.012149996185244483,0.009746700236514805,0.019264515144579164,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014686808575570254,-0.018120088502326936,0.014305333028152845,-0.3560439560439548,-0.0659340659340657,-0.08888888888888857,-0.08888888888888857,0.0219780219780219,0.03174603174603163,-0.0366300366300365,0.0
594110.368792867,-1,0.02,0.011329823758297053,0.0018855572910712937,0.004234378576333242,0.005836575875486361,-0.008354314488441261,-0.01041428244449527,0.008354314488441261,0.019264515144579164,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014686808575570254,-0.018120088502326936,0.014305333028152845,-0.3032967032967022,-0.03956043956043942,-0.11623931623931583,-0.12991452991452945,0.0219780219780219,0.026862026862026767,-0.03174603174603163,0.0
594110.388715292,-1,0.02,0.009441519798580877,0.0024046310572662932,0.003528648813611035,0.004863813229571967,-0.006961928740367718,-0.008678568703746059,0.006961928740367718,0.019264515144579164,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014686808575570254,-0.018120088502326936,0.014305333028152845,-0.38241758241758106,-0.01318681318681314,-0.17094017094017033,-0.18461538461538396,0.026862026862026767,0.0366300366300365,-0.04151404151404137,0.0
594110.408741397,-1,0.02,0.0075532158388647,0.002923704823461293,0.002822919050888827,0.003891050583657573,-0.005569542992294172,-0.0069428549629968455,0.005569542992294172,0.019264515144579164,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014686808575570254,-0.018120088502326936,0.014305333028152845,-0.5142857142857125,0.03956043956043942,-0.22564102564102484,-0.22564102564102484,0.0366300366300365,0.0512820512820511,-0.06105006105006083,0.0
594110.429156383,-1,0.02,0.005664911879148525,0.0034427785896562926,0.00211718928816662,0.0029182879377431794,-0.004177157244220629,-0.005207141222247634,0.004177157244220629,0.019264515144579164,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014686808575570254,-0.018120088502326936,0.014305333028152845,-0.6461538461538439,0.0659340659340657,-0.2666666666666657,-0.3076923076923066,0.0512820512820511,0.0659340659340657,-0.07081807081807057,0.0
594110.448675772,-1,0.02,0.003776607919432351,0.003961852355851292,0.001411459525444414,0.0019455252918287869,-0.002784771496147087,-0.0034714274814984236,0.002784771496147087,0.019264515144579164,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014686808575570254,-0.018120088502326936,0.014305333028152845,-0.8307692307692278,0.09230769230769198,-0.3213675213675202,-0.3623931623931611,0.0659340659340657,0.08547008547008517,-0.08547008547008517,0.0
594110.472057339,-1,0.02,0.0018883039597161755,0.004480926122046292,0.000705729762722207,0.0009727626459143934,-0.0013923857480735435,-0.0017357137407492118,0.0013923857480735435,0.019264515144579164,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014686808575570254,-0.018120088502326936,0.014305333028152845,-0.93626373626374,0.14505494505494454,-0.37606837606837473,-0.4170940170940156,0.07570207570207543,0.10500610500610463,-0.10500610500610463,0.0
594110.488732574,-1,0.02,0.0,0.004999999888241291,0.0,0.0,0.0,0.0,0.0,0.019264515144579164,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014686808575570254,-0.018120088502326936,0.014305333028152845,-1.0945054945054977,0.17142857142857082,-0.403418803418802,-0.47179487179487367,0.09035409035409003,0.11477411477411437,-0.11477411477411437,0.0
594110.508731015,0,0.02,0.0,0.004999999888241291,0.0,0.0,0.0,0.0,0.0,0.019264515144579164,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014305333028152845,-0.018120088502326936,0.014305333028152845,-1.2263736263736291,0.22417582417582338,-0.45811965811966004,-0.5264957264957282,0.10500610500610463,0.13431013431013383,-0.12942612942612897,0.0
594110.52881503,1,0.02,0.0,0.014999999888241291,0.0,0.0,0.0,0.0,0.0,0.019264515144579164,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014305333028152845,-0.018120088502326936,0.014305333028152845,-1.3582417582417605,0.25054945054944966,-0.4991452991453009,-0.5811965811965827,0.11477411477411437,0.14407814407814357,-0.14407814407814357,0.0
594110.548736772,2,0.02,0.0,0.02499999988824129,0.0,0.0,0.0,0.0,0.0,0.019264515144579164,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014305333028152845,-0.017738612954909527,0.014305333028152845,-1.410989010989013,0.27692307692307594,-0.5401709401709418,-0.6222222222222236,0.1245421245421241,0.1538461538461533,-0.14896214896214843,0.0
594110.568738072,3,0.02,0.0,0.03499999988824129,0.0,0.0,0.0,0.0,0.0,0.019264515144579164,-0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014305333028152845,-0.017738612954909527,0.014305333028152845,-1.410989010989013,0.4615384615384599,-0.5401709401709418,-0.6222222222222236,0.12942612942612897,0.15873015873015817,-0.14896214896214843,0.0
594110.58883,4,0.02,0.0,0.044999998062849045,0.0,0.0,0.0,0.0,0.0,0.018883039597161755,0.0001907377737087046,0.00705729762722207,0.009727626459143934,-0.014305333028152845,-0.017357137407492118,0.013923857480735435,-1.410989010989013,1.0681318681318643,-0.5538461538461554,-0.6222222222222236,0.1245421245421241,0.1538461538461533,-0.14896214896214843,0.0
