t_recv,t_send,step_idx,arm_target_0,arm_target_1,arm_target_2,arm_target_3,arm_target_4,arm_target_5,arm_target_6,grip_cmd
1788154327.247400,1788154327.247156,43,-0.524137,-0.255319,0.233179,0.723826,-0.304545,-0.210309,-0.077925,0.025009
1788154327.339505,1788154327.339222,44,-0.495331,-0.268528,0.216925,0.766408,-0.313008,-0.209019,-0.100758,0.024668
1788154327.441300,1788154327.440982,45,-0.459850,-0.283084,0.200963,0.809297,-0.321996,-0.209121,-0.122767,0.024556
1788154327.532300,1788154327.532101,46,-0.418592,-0.297808,0.187041,0.850710,-0.328899,-0.208532,-0.143771,0.024590
1788154327.635832,1788154327.635504,47,-0.375405,-0.311155,0.175874,0.888051,-0.332143,-0.206318,-0.163220,0.024439
1788154327.740538,1788154327.740304,48,-0.333871,-0.321893,0.167577,0.919298,-0.332533,-0.202546,-0.181646,0.024432
1788154327.847601,1788154327.847346,49,-0.296461,-0.329112,0.162158,0.943046,-0.330713,-0.197431,-0.199481,0.024589
1788154327.969175,1788154327.968854,50,-0.264082,-0.332693,0.159469,0.960509,-0.327038,-0.191288,-0.216213,0.024565
1788154328.079722,1788154328.079470,51,-0.237492,-0.332912,0.159041,0.973474,-0.321959,-0.184556,-0.231910,0.024616
1788154328.201129,1788154328.200926,52,-0.217624,-0.329147,0.159211,0.982716,-0.316330,-0.175206,-0.246875,0.024658
1788154328.311723,1788154328.311342,53,-0.203324,-0.321425,0.158015,0.990380,-0.311869,-0.161985,-0.261947,0.024763
1788154328.424140,1788154328.423956,54,-0.192786,-0.310858,0.154532,0.998645,-0.309146,-0.145245,-0.277830,0.024814
1788154328.533230,1788154328.532969,55,-0.185101,-0.298620,0.148286,1.008160,-0.308564,-0.125333,-0.293462,0.024910
1788154328.653951,1788154328.653761,56,-0.179451,-0.285811,0.139010,1.018923,-0.310035,-0.102462,-0.307315,0.024962
1788154328.763849,1788154328.763493,57,-0.175323,-0.273329,0.126255,1.030096,-0.313530,-0.076921,-0.318533,0.024928
1788154328.877084,1788154328.876881,58,-0.171872,-0.263288,0.112032,1.040409,-0.318100,-0.051302,-0.326491,0.025017
1788154328.985482,1788154328.985250,59,-0.169292,-0.255586,0.098001,1.047586,-0.322572,-0.026353,-0.330659,0.024979
1788154329.098482,1788154329.098288,60,-0.167641,-0.251478,0.085837,1.050411,-0.326515,-0.005656,-0.330923,0.025112
1788154329.203497,1788154329.203305,61,-0.164627,-0.251202,0.076210,1.048999,-0.329879,0.008049,-0.333277,0.024972
1788154329.313595,1788154329.313377,62,-0.158381,-0.252983,0.069954,1.045760,-0.333353,0.014695,-0.340986,0.025090
1788154329.404448,1788154329.404261,63,-0.153584,-0.256058,0.068176,1.039849,-0.335833,0.014831,-0.348609,0.025123
1788154329.509605,1788154329.506696,64,-0.152215,-0.255217,0.068195,1.031819,-0.338030,0.016839,-0.357938,0.025125
1788154329.613575,1788154329.613398,65,-0.154113,-0.250072,0.067635,1.023017,-0.339457,0.023745,-0.370058,0.024991
1788154329.718878,1788154329.718696,66,-0.158459,-0.242164,0.064302,1.015236,-0.341298,0.036212,-0.381913,0.024931
1788154329.814983,1788154329.814754,67,-0.164047,-0.234749,0.058546,1.009178,-0.343505,0.051328,-0.390495,0.024892
1788154329.929343,1788154329.927884,68,-0.170232,-0.230593,0.051352,1.003043,-0.345637,0.065494,-0.395110,0.024943
1788154330.027032,1788154330.026708,69,-0.173578,-0.229897,0.043488,0.996649,-0.347784,0.077434,-0.398709,0.024776
1788154330.134918,1788154330.134465,70,-0.172299,-0.232003,0.038574,0.990944,-0.351215,0.083281,-0.401114,0.024823
1788154330.236576,1788154330.236363,71,-0.169067,-0.236004,0.038759,0.984724,-0.353644,0.081930,-0.403592,0.024881
1788154330.322464,1788154330.322260,72,-0.167186,-0.237950,0.041969,0.978161,-0.356018,0.078698,-0.407037,0.024890
1788154330.427841,1788154330.426835,73,-0.166703,-0.234874,0.045095,0.974354,-0.358125,0.080860,-0.414983,0.025246
1788154330.556031,1788154330.555658,74,-0.169109,-0.227908,0.045744,0.973527,-0.359265,0.090507,-0.420699,0.025163
1788154330.649595,1788154330.649272,75,-0.172565,-0.220024,0.043765,0.975794,-0.360815,0.104410,-0.422910,0.025285
1788154330.754029,1788154330.753829,76,-0.176391,-0.212867,0.038890,0.980036,-0.363210,0.120472,-0.421985,0.025249
1788154330.872441,1788154330.871905,77,-0.179126,-0.208131,0.032222,0.985689,-0.365875,0.136502,-0.418576,0.025356
1788154331.008793,1788154331.008519,78,-0.180335,-0.204931,0.024976,0.991206,-0.369003,0.152432,-0.412725,0.025145
1788154331.131754,1788154331.131510,79,-0.180567,-0.204136,0.019800,0.994842,-0.372188,0.164388,-0.403019,0.025161
1788154331.248861,1788154331.248642,80,-0.179140,-0.205935,0.018609,0.995820,-0.374543,0.170217,-0.393216,0.025226
1788154331.365482,1788154331.365222,81,-0.176142,-0.206072,0.020574,0.995556,-0.377055,0.174655,-0.386893,0.025256
1788154331.458447,1788154331.458264,82,-0.174416,-0.203120,0.025238,0.996524,-0.380941,0.179149,-0.383577,0.025185
1788154331.559829,1788154331.559525,83,-0.175393,-0.197729,0.028667,0.999676,-0.382403,0.187252,-0.382907,0.024947
1788154331.666021,1788154331.665581,84,-0.177483,-0.191125,0.028225,1.005074,-0.383568,0.199771,-0.385708,0.024824
1788154331.757201,1788154331.756989,85,-0.181296,-0.184548,0.024055,1.011396,-0.385245,0.215457,-0.387281,0.024925
1788154331.861174,1788154331.861002,86,-0.186583,-0.179512,0.018029,1.016388,-0.385844,0.232564,-0.386337,0.025071
1788154331.962133,1788154331.961947,87,-0.192406,-0.175713,0.011434,1.018294,-0.385708,0.250045,-0.382693,0.025154
1788154332.066581,1788154332.066384,88,-0.197060,-0.174435,0.007121,1.016347,-0.384898,0.263112,-0.376080,0.025197
1788154332.156466,1788154332.156286,89,-0.197746,-0.174607,0.008088,1.013264,-0.385452,0.269333,-0.372514,0.025288
1788154332.267870,1788154332.267572,90,-0.197864,-0.175193,0.013304,1.008632,-0.386860,0.268428,-0.371134,0.025221
1788154332.375737,1788154332.375549,91,-0.197620,-0.174990,0.020042,1.005911,-0.389256,0.264510,-0.373973,0.025187
1788154332.478043,1788154332.477799,92,-0.200103,-0.172194,0.024338,1.005237,-0.392303,0.264856,-0.379545,0.025341
1788154332.581698,1788154332.581311,93,-0.205343,-0.167665,0.024161,1.006465,-0.393682,0.272101,-0.383706,0.025514
1788154332.691935,1788154332.691757,94,-0.212714,-0.163534,0.020446,1.007587,-0.394570,0.283540,-0.383909,0.025547
1788154332.798803,1788154332.798640,95,-0.220022,-0.161369,0.014889,1.007430,-0.394409,0.296152,-0.381261,0.025527
1788154332.886179,1788154332.885977,96,-0.224126,-0.161968,0.010738,1.005860,-0.392859,0.306050,-0.375952,0.025535
1788154332.989701,1788154332.989447,97,-0.223030,-0.164165,0.011354,1.004415,-0.393757,0.308977,-0.373553,0.025640
1788154333.096535,1788154333.096081,98,-0.220402,-0.165660,0.015712,1.001855,-0.395433,0.306725,-0.374332,0.025586
1788154333.211183,1788154333.210834,99,-0.220523,-0.165655,0.021597,0.998299,-0.399117,0.302601,-0.375337,0.025437
1788154333.319858,1788154333.319424,100,-0.223728,-0.162751,0.024509,0.995578,-0.403412,0.303316,-0.380225,0.025534
1788154333.426574,1788154333.426323,101,-0.230417,-0.158307,0.022721,0.993189,-0.406115,0.310413,-0.383429,0.025393
1788154333.517130,1788154333.516935,102,-0.237082,-0.155868,0.018430,0.991873,-0.406915,0.319412,-0.384673,0.025354
1788154333.616217,1788154333.615941,103,-0.240574,-0.155169,0.012745,0.991019,-0.405297,0.329717,-0.385538,0.025330
1788154333.714814,1788154333.714612,104,-0.239613,-0.156584,0.010122,0.989706,-0.403608,0.335394,-0.384189,0.025445
1788154333.832096,1788154333.828605,105,-0.236860,-0.159332,0.011713,0.986691,-0.404489,0.333762,-0.379077,0.025443
1788154333.941325,1788154333.939634,106,-0.234401,-0.160970,0.016409,0.982489,-0.407035,0.329616,-0.373804,0.025469
1788154334.050894,1788154334.050716,107,-0.233520,-0.161196,0.023193,0.980488,-0.413305,0.323679,-0.370075,0.025475
1788154334.140882,1788154334.140671,108,-0.234272,-0.158734,0.027522,0.982841,-0.417826,0.324058,-0.369869,0.025430
1788154334.251301,1788154334.251071,109,-0.236753,-0.154638,0.027494,0.988157,-0.419531,0.331640,-0.368459,0.025381
1788154334.362768,1788154334.362563,110,-0.239693,-0.152541,0.025263,0.994699,-0.419532,0.340498,-0.363678,0.025370
1788154334.469601,1788154334.469390,111,-0.240780,-0.152279,0.021715,1.001365,-0.416982,0.350245,-0.356663,0.025368
1788154334.568450,1788154334.568239,112,-0.238925,-0.154177,0.020820,1.007561,-0.415023,0.356116,-0.346754,0.025382
1788154334.675354,1788154334.675150,113,-0.233819,-0.157459,0.024708,1.013370,-0.414390,0.355305,-0.338605,0.025416
1788154334.788946,1788154334.788733,114,-0.227930,-0.159001,0.031520,1.018788,-0.414676,0.352555,-0.333491,0.025434
1788154334.899438,1788154334.899246,115,-0.224323,-0.159620,0.039405,1.025271,-0.418339,0.347855,-0.329360,0.025429
1788154334.991020,1788154334.990820,116,-0.223345,-0.159017,0.044060,1.034036,-0.420861,0.347997,-0.327687,0.025402
1788154335.087956,1788154335.087769,117,-0.223874,-0.157545,0.043574,1.043648,-0.421423,0.353512,-0.329029,0.025410
1788154335.191668,1788154335.191352,118,-0.226865,-0.156101,0.039324,1.049889,-0.419148,0.362831,-0.329309,0.025387
